com.samsung.health.device_profile,6302031,9
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,legacy_deviceuuid,connectivity_type,deviceuuid,pkg_name,accessory_type,fixed_name,datauuid
Samsung,,,,,,,,360001,2025-02-04 12:54:49.689,2025-02-04 12:54:49.689,My Device,SM-S938B,,,3QItrwNcp5,com.sec.android.app.shealth,,Haneen's S25 Ultra,72e742fc-170d-fcfd-c1b1-2a21c62c658f,
Combined,,,,,,,,0,2025-02-04 12:55:11.529,2025-02-04 12:55:11.529,Combined,Combined,,,VfS0qUERdZ,com.sec.android.app.shealth,,Haneen's S25 Ultra,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,,,0,2025-02-04 12:55:11.583,2025-02-04 12:55:11.583,all_target,all_target,,,Mk66SbFqK1,com.sec.android.app.shealth,,Haneen's S25 Ultra,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Samsung Electronics,1,,102,10054,1,3321934e-a6d7-4f2b-882b-10e1cbffdf4e.capability.json,,360003,2021-11-11 13:20:49.895,2021-10-03 09:12:16.352,Galaxy Watch4,SM-R875F,,,fPb7+g3n+2,com.sec.android.app.shealth,,realme X2 Pro,3321934e-a6d7-4f2b-882b-10e1cbffdf4e,
realme,,,,,,,,360001,2021-11-24 19:38:44.411,2021-11-24 19:38:44.411,My Device,RMX1931,,,Rju+KmA1Z1,com.sec.android.app.shealth,,realme X2 Pro,fe5c02dc-e330-c2e1-2c1f-34d4b047053c,
Samsung Electronics,1,,102,10054,1,f41588b2-d858-43fe-a1b2-a22c028dc58f.capability.json,,360003,2022-03-07 16:58:13.280,2021-11-24 19:48:33.854,Galaxy Watch4,SM-R875F,,,WDnH3DyUJX,com.sec.android.app.shealth,,realme X2 Pro,f41588b2-d858-43fe-a1b2-a22c028dc58f,
Samsung Electronics,1,,102,10054,1,ded1e302-baf0-46d0-bc08-c0236ab0d2ae.capability.json,,360003,2022-04-19 11:36:45.152,2022-03-21 17:58:54.801,Galaxy Watch4,SM-R875F,,,GTxP26lM/E,com.sec.android.app.shealth,,,ded1e302-baf0-46d0-bc08-c0236ab0d2ae,
Samsung Electronics,1,,102,10054,1,964009a1-2776-455f-897a-888d82cd630a.capability.json,,360003,2022-08-10 04:02:50.263,2022-06-09 09:59:27.733,Galaxy Watch4,SM-R875F,,,3sVBvvk0Yk,com.sec.android.app.shealth,,Haneen's S22 Ultra,964009a1-2776-455f-897a-888d82cd630a,
Samsung,,,,,,,,360001,2022-12-10 03:57:01.049,2022-03-21 17:47:51.944,My Device,SM-S908E,,,EmOHuC/o0o,com.sec.android.app.shealth,,Haneen's S22 Ultra,a7a4dea2-ecd0-3b76-5755-ef59bf3c90d8,
Samsung Electronics,1,,102,10054,1,95aea978-b78a-4227-9faf-50ee00f3c01b.capability.json,,360003,2022-12-28 11:22:03.830,2022-08-17 14:20:52.347,Galaxy Watch4,SM-R875F,,,Hh8xS8Ad1n,com.sec.android.app.shealth,,,95aea978-b78a-4227-9faf-50ee00f3c01b,
Samsung Electronics,1,,102,10054,1,33433666-4dec-4a05-91b7-736221941fe4.capability.json,,360003,2023-02-02 10:23:12.575,2023-01-19 06:20:26.260,Galaxy Watch4,SM-R875F,,,IIqR8tL6i5,com.sec.android.app.shealth,,Haneen's S22 Ultra,33433666-4dec-4a05-91b7-736221941fe4,
Samsung Electronics,1,,107,10059,1,b36011bf-f22d-4872-9c90-4da16a830095.capability.json,,360003,2023-11-01 03:37:40.786,2023-07-03 09:25:07.186,Galaxy Watch6 Classic,SM-R965F,,,z/yAO0rODv,com.sec.android.app.shealth,,,b36011bf-f22d-4872-9c90-4da16a830095,
Samsung Electronics,1,,107,10059,1,9cc754a8-b074-4ca1-bbfa-07ab133df147.capability.json,,360003,2024-01-20 01:35:49.088,2023-11-20 16:28:33.541,Galaxy Watch6 Classic,SM-R965F,,,Zi2tKAbhgt,com.sec.android.app.shealth,,Haneen's S22 Ultra,9cc754a8-b074-4ca1-bbfa-07ab133df147,
Samsung Electronics,,,,,,,,360003,2024-08-28 16:39:09.545,2024-08-28 16:39:09.545,Strava,www.strava.com,,,ypt8NbxkSl,com.sec.android.app.shealth,,Haneen's S22 Ultra,bdcc0bab-e8fe-05f5-288a-adcfa4fee45a,
Samsung Electronics,1,62610110,107,10059,1,bd30e8fc-2642-47db-abaf-f457a2e42b85.capability.json,62820030,360003,2024-11-25 15:01:54.699,2024-01-23 10:05:54.809,Galaxy Watch6 Classic,SM-R965F,,,/l7YF9Xtrq,com.sec.android.app.shealth,,,bd30e8fc-2642-47db-abaf-f457a2e42b85,
Samsung Electronics,1,62900750,107,10059,1,bcee8497-2c04-470c-8344-3298099e950a.capability.json,62981551,360003,2025-07-17 18:23:37.058,2024-11-25 17:04:17.408,Galaxy Watch6 Classic,SM-R965F,,,tFCCLQvz7k,com.sec.android.app.shealth,,,bcee8497-2c04-470c-8344-3298099e950a,
Samsung,,62900750,,,,,62900750,360001,2025-01-30 18:53:45.450,2025-01-30 18:53:45.450,My Device,SM-G973F,,,QXcEZDPJKk,com.sec.android.app.shealth,,Haneen's S10,6b9dbcc1-6819-f7d3-3edc-de11ab336e07,
