com.samsung.health.food_intake,6302031,6
create_sh_ver,start_time,amount,custom,modify_sh_ver,update_time,create_time,meal_type,client_data_id,name,unit,client_data_ver,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
62900750,2025-01-28 18:11:09.529,500.0,,62900750,2025-01-28 18:11:52.244,2025-01-28 18:11:52.244,100001,,Slim Skimmed Milk(Nandini),120005,,175.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,340fc19d-695b-4068-9e7b-c188748a89ba,e8733fec-8c8b-4a2f-9575-a9423da8d810,
62900750,2025-01-28 18:11:09.529,1.0,,62900750,2025-01-28 18:11:52.244,2025-01-28 18:11:52.244,100001,,ON Protein Powder,120001,,117.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,80297fff-8707-4692-81aa-de53d4c0c57b,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
62900750,2025-01-28 18:11:09.529,120.0,,62900750,2025-01-28 18:11:52.244,2025-01-28 18:11:52.244,100001,,Whole Wheat Chapati(ID),120002,,324.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,3b3d181b-0b95-4934-8e85-5018308d43d6,5c0ec010-33df-4501-beef-054081f24ea8,
62900750,2025-01-28 18:11:55.343,220.0,,62900750,2025-01-28 18:12:55.492,2025-01-28 18:12:55.492,100002,,Roasted Broiled or Baked Chicken Breast (Skin Not Eaten),120002,,360.8,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,01d6585c-e792-4cc2-9f8d-78d038e93f04,a8a85c60-33ae-468f-b246-17e3aa28c1c9,
62900750,2025-01-28 18:11:55.343,80.0,,62900750,2025-01-28 18:12:55.492,2025-01-28 18:12:55.492,100002,,Whole Wheat Chapati(ID),120002,,216.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,84b4f761-d330-4fdb-8a9f-6545622a7464,5c0ec010-33df-4501-beef-054081f24ea8,
62900750,2025-01-29 04:12:58.951,500.0,,62900750,2025-01-29 16:14:01.690,2025-01-29 16:14:01.690,100001,,Slim Skimmed Milk(Nandini),120005,,175.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,f2168845-ea3b-4c00-918c-d630aa440847,e8733fec-8c8b-4a2f-9575-a9423da8d810,
62900750,2025-01-29 04:12:58.951,1.0,,62900750,2025-01-29 16:14:01.690,2025-01-29 16:14:01.690,100001,,ON Protein Powder,120001,,117.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,db958234-5d71-4ca7-a09b-75a048a97899,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
62900750,2025-01-29 04:12:58.951,50.0,,62900750,2025-01-29 16:14:01.690,2025-01-29 16:14:01.690,100001,,Oatmeal,120002,,30.982906,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,f92fc0cb-f9dc-4bb4-9f22-d2455e91d933,d63e50a8-852c-4225-aeba-23d046d9beb8,
62900750,2025-01-29 16:14:04.066,4.0,,62900750,2025-01-29 16:15:47.788,2025-01-29 16:15:47.788,100002,,Chapati(Aashirvaad),120001,,340.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,a94b5da2-5f71-4f03-b123-02ce5dbd73aa,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
62900750,2025-01-29 16:14:04.066,220.0,,62900750,2025-01-29 16:15:47.788,2025-01-29 16:15:47.788,100002,,Roasted Broiled or Baked Chicken Breast (Skin Not Eaten),120002,,360.8,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,f386abd4-3bd1-4ae9-995b-ca2cfa7902cb,a8a85c60-33ae-468f-b246-17e3aa28c1c9,
