com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2025-01-07 18:30:00.000,,14f14766-ebf2-42bc-81ef-5a67ac0fc871.binning_data.json,62800471,2025-01-07 19:14:52.019,2025-01-07 19:14:52.019,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-07 19:14:50.135,14f14766-ebf2-42bc-81ef-5a67ac0fc871,
62800471,2025-01-07 19:30:00.000,,b32ec9d4-aa8f-4fd7-b368-c9beb0279d37.binning_data.json,62800471,2025-01-07 20:15:13.123,2025-01-07 20:15:13.123,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-07 20:15:10.132,b32ec9d4-aa8f-4fd7-b368-c9beb0279d37,
62800471,2025-01-07 20:30:00.000,,4b4a6022-a580-454f-befe-3151f206ab9d.binning_data.json,62800471,2025-01-07 21:15:31.077,2025-01-07 21:15:31.077,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-07 21:15:31.050,4b4a6022-a580-454f-befe-3151f206ab9d,
62800471,2025-01-07 21:30:00.000,,7fcf1958-66e7-44d0-9a75-9d6d6ff2e8ab.binning_data.json,62800471,2025-01-07 22:15:55.192,2025-01-07 22:15:55.192,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-07 22:15:51.110,7fcf1958-66e7-44d0-9a75-9d6d6ff2e8ab,
62800471,2025-01-07 22:30:00.000,,41509b04-b5d6-4e59-911c-87839b973425.binning_data.json,62800471,2025-01-07 23:15:14.186,2025-01-07 23:15:14.186,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-07 23:15:14.149,41509b04-b5d6-4e59-911c-87839b973425,
62800471,2025-01-07 23:30:00.000,,53410cb5-5557-49fb-9408-6eb10d02e9ab.binning_data.json,62800471,2025-01-08 00:16:36.258,2025-01-08 00:16:36.258,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-08 00:16:32.156,53410cb5-5557-49fb-9408-6eb10d02e9ab,
62800471,2025-01-08 00:30:00.000,,b32f4d98-0871-4116-bf48-76e5927e6092.binning_data.json,62800471,2025-01-08 01:15:11.270,2025-01-08 01:15:11.270,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-08 01:15:11.231,b32f4d98-0871-4116-bf48-76e5927e6092,
62800471,2025-01-08 01:30:00.000,,bc6f7896-703e-4e2c-8635-cf49ed54db5c.binning_data.json,62800471,2025-01-08 02:15:31.214,2025-01-08 02:15:31.214,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-08 02:15:31.174,bc6f7896-703e-4e2c-8635-cf49ed54db5c,
62800471,2025-01-08 02:30:00.000,,9baba12e-ac07-4809-8cd6-4d2bafb9098d.binning_data.json,62800471,2025-01-08 03:12:42.914,2025-01-08 03:12:38.577,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-08 03:12:42.732,9baba12e-ac07-4809-8cd6-4d2bafb9098d,
62800471,2025-01-08 19:30:00.000,,32a0fe07-00d5-4321-9ea7-ceadb3b70e5d.binning_data.json,62800471,2025-01-08 20:15:01.521,2025-01-08 20:15:01.521,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-08 20:15:01.489,32a0fe07-00d5-4321-9ea7-ceadb3b70e5d,
