com.samsung.health.movement,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62900571,2025-01-27 19:00:00.000,,1c92eed8-fe2b-41f9-a80d-24690adab2f5.binning_data.json,62900571,2025-01-27 20:15:55.057,2025-01-27 19:15:37.060,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-27 19:59:59.999,1c92eed8-fe2b-41f9-a80d-24690adab2f5,
62900571,2025-01-27 20:00:00.000,,4f7f3594-835a-4beb-b4ef-8c0d32bc4f0e.binning_data.json,62900571,2025-01-27 21:16:13.055,2025-01-27 20:15:55.054,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-27 20:59:59.999,4f7f3594-835a-4beb-b4ef-8c0d32bc4f0e,
62900571,2025-01-27 21:00:00.000,,3b96f4c2-7cb6-458c-adfd-483d1ef40f40.binning_data.json,62900571,2025-01-27 22:16:33.041,2025-01-27 21:16:13.065,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-27 21:59:59.999,3b96f4c2-7cb6-458c-adfd-483d1ef40f40,
62900571,2025-01-27 22:00:00.000,,2b6f8876-ed8d-4f8a-829e-a4552dd84443.binning_data.json,62900571,2025-01-27 23:16:53.174,2025-01-27 22:16:33.048,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-27 22:59:59.999,2b6f8876-ed8d-4f8a-829e-a4552dd84443,
62900571,2025-01-27 23:00:00.000,,0395ac6f-4f91-486f-b203-f848a57dd35a.binning_data.json,62900571,2025-01-28 00:17:12.051,2025-01-27 23:16:53.205,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-27 23:59:59.999,0395ac6f-4f91-486f-b203-f848a57dd35a,
62900571,2025-01-28 00:00:00.000,,a1e82daf-fefb-4b9c-a24a-f8a84759a177.binning_data.json,62900571,2025-01-28 01:17:32.055,2025-01-28 00:17:12.061,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 00:59:59.999,a1e82daf-fefb-4b9c-a24a-f8a84759a177,
62900571,2025-01-28 01:00:00.000,,29b540ac-3492-43f2-a131-b0faf0408ef8.binning_data.json,62900571,2025-01-28 02:17:52.123,2025-01-28 01:17:32.160,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 01:59:59.999,29b540ac-3492-43f2-a131-b0faf0408ef8,
62900571,2025-01-28 02:00:00.000,,b46a5ddb-1fd0-4226-8b83-cd55be0881d0.binning_data.json,62900571,2025-01-28 03:18:12.041,2025-01-28 02:17:52.167,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 02:59:59.999,b46a5ddb-1fd0-4226-8b83-cd55be0881d0,
62900571,2025-01-28 03:00:00.000,,6c99db1e-2bc3-4b48-bde4-979a1fe72451.binning_data.json,62900571,2025-01-28 04:18:27.506,2025-01-28 03:18:12.051,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 03:59:59.999,6c99db1e-2bc3-4b48-bde4-979a1fe72451,
62900571,2025-01-28 04:00:00.000,,edcc6226-09e6-4826-b403-11b4490fe98b.binning_data.json,62900571,2025-01-28 05:18:44.713,2025-01-28 04:18:27.533,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 04:59:59.999,edcc6226-09e6-4826-b403-11b4490fe98b,
62900571,2025-01-28 05:00:00.000,,2de00a9a-d134-4e5b-a2a7-f05b08801bcf.binning_data.json,62900571,2025-01-28 06:19:02.052,2025-01-28 05:18:44.742,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 05:59:59.999,2de00a9a-d134-4e5b-a2a7-f05b08801bcf,
62900571,2025-01-28 06:00:00.000,,b39a4482-746a-48be-b830-b45f6a56453d.binning_data.json,62900571,2025-01-28 07:19:19.054,2025-01-28 06:19:02.134,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 06:59:59.999,b39a4482-746a-48be-b830-b45f6a56453d,
62900571,2025-01-28 07:00:00.000,,1e8b1f41-5338-4592-a525-2616978cb745.binning_data.json,62900571,2025-01-28 08:19:38.044,2025-01-28 07:19:19.051,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 07:59:59.999,1e8b1f41-5338-4592-a525-2616978cb745,
62900571,2025-01-28 08:00:00.000,,24f5f5be-1f7e-4107-bd6f-35d511d8f431.binning_data.json,62900571,2025-01-28 09:19:56.064,2025-01-28 08:19:38.051,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 08:59:59.999,24f5f5be-1f7e-4107-bd6f-35d511d8f431,
62900571,2025-01-28 09:00:00.000,,f0e8d81c-b50c-4e2a-88e5-4ae37289b842.binning_data.json,62900571,2025-01-28 10:00:06.166,2025-01-28 09:19:56.074,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 09:59:59.999,f0e8d81c-b50c-4e2a-88e5-4ae37289b842,
62900571,2025-01-28 10:00:00.000,,2cde3a6c-8025-4c45-9ef7-5ba435f1d9f4.binning_data.json,62900571,2025-01-28 11:00:25.053,2025-01-28 10:20:13.043,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 10:59:59.999,2cde3a6c-8025-4c45-9ef7-5ba435f1d9f4,
