com.samsung.health.respiratory_rate,6302031,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2025-01-07 18:33:00.000,,703ce500-ef1e-45fa-a433-c0ce57810548.binning_data.json,62800471,13.609272,13.748363,2025-01-08 03:12:42.729,2025-01-08 03:12:42.729,,14.295976,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-08 03:07:00.000,703ce500-ef1e-45fa-a433-c0ce57810548,
62800471,2025-01-08 18:55:00.000,,0a2fb504-26d3-4ede-85ca-d165fab78f2c.binning_data.json,62800471,13.495266,13.715572,2025-01-09 03:08:37.528,2025-01-09 03:08:37.528,,14.295055,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-09 03:00:00.000,0a2fb504-26d3-4ede-85ca-d165fab78f2c,
62800471,2025-01-09 19:17:00.000,,c7e57348-bcfd-40f5-ab4d-211ff32b3aad.binning_data.json,62800471,14.752892,13.715572,2025-01-10 01:42:42.651,2025-01-10 01:42:42.651,,14.295055,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-10 01:22:00.000,c7e57348-bcfd-40f5-ab4d-211ff32b3aad,
62800471,2025-01-11 16:52:00.000,,076d05c6-bfe3-4220-9788-5686b295c70e.binning_data.json,62800471,13.269379,13.821071,2025-01-12 01:07:15.511,2025-01-12 01:07:15.511,,14.239432,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 01:02:00.000,076d05c6-bfe3-4220-9788-5686b295c70e,
62800471,2025-01-12 18:51:00.000,,fab5b90c-2e6b-4a9e-81a6-6165f99c9a77.binning_data.json,62800471,14.097186,13.801353,2025-01-13 01:49:34.423,2025-01-13 01:49:34.423,,14.160065,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 01:41:00.000,fab5b90c-2e6b-4a9e-81a6-6165f99c9a77,
62800471,2025-01-13 17:45:00.000,,a714fe4f-8389-42a9-9312-f5a62ead92d1.binning_data.json,62800471,14.12672,13.801353,2025-01-14 01:18:51.404,2025-01-14 01:18:51.404,,14.160065,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-14 01:07:00.000,a714fe4f-8389-42a9-9312-f5a62ead92d1,
62800471,2025-01-14 20:41:00.000,,7d1104c6-85a6-4d78-b680-46f445071ca2.binning_data.json,62800471,14.760132,13.737361,2025-01-15 04:12:51.408,2025-01-15 04:12:51.408,,14.153775,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 03:57:00.000,7d1104c6-85a6-4d78-b680-46f445071ca2,
62800471,2025-01-15 18:55:00.000,,6984db32-4733-4235-ba0e-3c05dae058f0.binning_data.json,62800471,14.67305,13.737361,2025-01-16 00:54:03.570,2025-01-16 00:54:03.570,,14.153775,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 00:54:00.000,6984db32-4733-4235-ba0e-3c05dae058f0,
62800471,2025-01-16 00:57:00.000,,8d9cc628-b912-48e2-b5d2-4fac221a285a.binning_data.json,62800471,13.239303,13.772884,2025-01-16 02:39:49.349,2025-01-16 02:39:49.349,,14.153381,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 02:39:00.000,8d9cc628-b912-48e2-b5d2-4fac221a285a,
62800471,2025-01-16 20:05:00.000,,d331d3f5-4ea0-418d-8c40-d0454a29a8c8.binning_data.json,62800471,15.065653,13.761151,2025-01-17 01:32:01.809,2025-01-17 01:32:01.809,,14.1837435,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 01:31:00.000,d331d3f5-4ea0-418d-8c40-d0454a29a8c8,
62800471,2025-01-17 01:42:00.000,,febaf3fa-5bde-4056-8d03-08da6271cfc8.binning_data.json,62800471,13.590117,13.761151,2025-01-17 03:47:23.343,2025-01-17 03:47:23.343,,14.1837435,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 03:21:00.000,febaf3fa-5bde-4056-8d03-08da6271cfc8,
