com.samsung.health.skin_temperature,6302031,3
stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
33.24852,1106.5294,33.489742,2025-01-07 18:33:00.000,581176ba-2e30-4eae-ae1b-c18114cb2522.binning_data.json,497,31301,31.89087,2025-01-08 03:12:43.491,2025-01-08 03:12:43.491,,35.086895,35.155636,31.612352,,33.24852,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-08 03:07:00.000,581176ba-2e30-4eae-ae1b-c18114cb2522,
33.86223,1147.2593,33.47458,2025-01-08 18:55:00.000,c2e082fd-24c2-45ee-a014-ddf3c768ffeb.binning_data.json,464,31301,31.876211,2025-01-09 03:08:44.414,2025-01-09 03:08:44.414,,35.09051,35.260635,32.17989,,33.86223,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-09 03:00:00.000,c2e082fd-24c2-45ee-a014-ddf3c768ffeb,
34.613926,1198.2401,33.58276,2025-01-09 19:17:00.000,c673de6e-bdb4-4840-93bc-0c3c6bf328d6.binning_data.json,348,31301,31.998314,2025-01-10 01:42:43.213,2025-01-10 01:42:43.213,,35.151115,35.352974,33.854355,,34.613926,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-10 01:22:00.000,c673de6e-bdb4-4840-93bc-0c3c6bf328d6,
34.266502,1174.508,33.61948,2025-01-11 16:52:00.000,0beb602c-2c32-4d1e-9419-b399f8f4847c.binning_data.json,470,31301,31.931013,2025-01-12 01:07:16.321,2025-01-12 01:07:16.321,,35.12424,35.968616,33.365253,,34.266502,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 01:02:00.000,0beb602c-2c32-4d1e-9419-b399f8f4847c,
34.138805,1166.0546,33.66045,2025-01-12 18:51:00.000,e5a0a995-f9a9-4d48-a6b7-2a9cb78f1007.binning_data.json,391,31301,32.05674,2025-01-13 01:49:36.583,2025-01-13 01:49:36.583,,35.12424,35.659134,32.28319,,34.138805,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 01:41:00.000,e5a0a995-f9a9-4d48-a6b7-2a9cb78f1007,
33.381027,1114.9146,33.753864,2025-01-13 17:45:00.000,6896dd60-a019-4a9d-8a03-56ec3e5edf92.binning_data.json,423,31301,32.18513,2025-01-14 01:18:54.759,2025-01-14 01:18:54.759,,35.198803,34.865,31.65403,,33.381027,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-14 01:07:00.000,6896dd60-a019-4a9d-8a03-56ec3e5edf92,
32.45362,1055.1218,33.729263,2025-01-14 20:41:00.000,897d5e16-0d3c-42f8-8f02-001805162111.binning_data.json,423,31301,32.092804,2025-01-15 04:12:52.525,2025-01-15 04:12:52.525,,35.19014,35.40323,30.498621,,32.45362,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 03:57:00.000,897d5e16-0d3c-42f8-8f02-001805162111,
34.571346,1195.355,33.68328,2025-01-15 18:55:00.000,1786b7b0-0ffa-4725-b67f-ff6c23ee1689.binning_data.json,343,31301,32.110085,2025-01-16 00:54:05.760,2025-01-16 00:54:05.760,,35.180534,35.339703,33.841927,,34.571346,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 00:54:00.000,1786b7b0-0ffa-4725-b67f-ff6c23ee1689,
31.991526,1024.0458,33.721786,2025-01-16 00:57:00.000,0ac9a6b9-36b1-465d-8616-4c5c6dc91011.binning_data.json,82,31301,32.183918,2025-01-16 02:39:50.199,2025-01-16 02:39:50.199,,35.18989,32.986176,30.26508,,31.991526,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 02:39:00.000,0ac9a6b9-36b1-465d-8616-4c5c6dc91011,
34.025726,1159.1523,33.695244,2025-01-16 20:05:00.000,5717d142-add4-40b4-ba0f-2191bb2eea48.binning_data.json,306,31301,32.12703,2025-01-17 01:32:03.049,2025-01-17 01:32:03.049,,35.050343,35.892498,31.506315,,34.025726,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 01:31:00.000,5717d142-add4-40b4-ba0f-2191bb2eea48,
33.962696,1153.6342,33.708065,2025-01-17 01:42:00.000,e87050fd-c8a9-4efc-b84d-c3bf157ee955.binning_data.json,97,31301,32.092545,2025-01-17 03:47:23.656,2025-01-17 03:47:23.656,,35.084164,34.816113,33.23714,,33.962696,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 03:21:00.000,e87050fd-c8a9-4efc-b84d-c3bf157ee955,
34.72582,1206.0116,33.76806,2025-01-17 19:36:00.000,f5454361-c755-4924-a901-df50f34f149f.binning_data.json,373,31301,32.25766,2025-01-18 02:18:11.370,2025-01-18 02:18:11.370,,35.06681,35.691288,33.968792,,34.72582,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-18 02:12:00.000,f5454361-c755-4924-a901-df50f34f149f,
32.89679,1082.9736,33.78662,2025-01-18 21:07:00.000,01ce3e87-98ab-41d6-bf46-d6e874eef577.binning_data.json,382,31301,32.25766,2025-01-19 04:01:09.464,2025-01-19 04:01:09.464,,35.08495,34.830185,31.255219,,32.89679,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-19 03:50:00.000,01ce3e87-98ab-41d6-bf46-d6e874eef577,
33.86371,1146.9069,33.709305,2025-01-19 22:52:00.000,cd635ffc-a5f5-4528-aa6e-963c5dd6380d.binning_data.json,170,31301,32.14912,2025-01-20 02:23:19.246,2025-01-20 02:23:19.246,,35.04071,34.774227,32.851032,,33.86371,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-20 02:01:00.000,cd635ffc-a5f5-4528-aa6e-963c5dd6380d,
34.492992,1189.8739,33.706093,2025-01-20 19:47:00.000,2cf6dcc2-37b1-4f41-a81c-ea97d7dca2c6.binning_data.json,329,31301,32.127895,2025-01-21 01:58:23.326,2025-01-21 01:58:23.326,,35.041195,35.2869,33.84959,,34.492992,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-21 01:31:00.000,2cf6dcc2-37b1-4f41-a81c-ea97d7dca2c6,
34.399197,1183.5527,33.738327,2025-01-21 20:20:00.000,ab8c17fd-56e1-40c1-8be1-85be9739602d.binning_data.json,413,31301,32.21811,2025-01-22 03:36:59.845,2025-01-22 03:36:59.845,,35.054127,35.361263,33.495644,,34.399197,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-22 03:36:00.000,ab8c17fd-56e1-40c1-8be1-85be9739602d,
33.927258,1151.4497,33.770645,2025-01-22 20:41:00.000,3e620b11-5388-40d4-806a-dd3c8e531704.binning_data.json,367,31301,32.281986,2025-01-23 03:09:19.003,2025-01-23 03:09:19.003,,35.069485,35.416973,32.777283,,33.927258,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-23 03:04:00.000,3e620b11-5388-40d4-806a-dd3c8e531704,
