com.samsung.shealth.activity.day_summary,6302031,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62900750,0,4600000,10322,300,8615863,90,2947902,62930070,2025-02-28 04:17:47.320,10,2025-02-04 12:55:11.590,0.0,30,30,-1,2346441,158,15,0,8,8726.17,3100000,855.01465,37c7dfba-9c66-4200-8adb-e3c40bc60904.extra_data.json,3QItrwNcp5,715821,com.sec.android.app.shealth,4952140,86400000,37c7dfba-9c66-4200-8adb-e3c40bc60904,2025-02-04 00:00:00.000,
0,62900750,0,3836000,7346,300,7695847,90,3836269,62930070,2025-02-28 04:17:47.575,10,2025-02-04 12:55:11.756,0.0,30,30,-1,3836269,141,19,0,8,4790.6685,2110000,727.9265,a74c9972-9b36-4114-869c-9a88239a52b4.extra_data.json,3QItrwNcp5,31200,com.sec.android.app.shealth,3828378,86400000,a74c9972-9b36-4114-869c-9a88239a52b4,2025-02-03 00:00:00.000,
0,62900750,0,2468000,12604,300,7748495,90,0,62930070,2025-02-28 04:17:48.120,10,2025-02-04 12:55:11.843,0.0,30,30,-1,1831119,142,21,0,8,9337.985,810000,782.9819,0909e248-70d4-476d-b27c-c6f6cdf71852.extra_data.json,3QItrwNcp5,35150,com.sec.android.app.shealth,7713345,86400000,0909e248-70d4-476d-b27c-c6f6cdf71852,2025-02-01 00:00:00.000,
0,62900750,0,966000,7934,300,5114217,90,0,62930070,2025-02-21 21:56:36.593,10,2025-02-04 12:55:12.085,0.0,30,30,-1,966827,93,14,0,8,6561.1416,660000,356.61365,0a3bf33e-cfd9-42d5-9bde-630f07106250.extra_data.json,3QItrwNcp5,35600,com.sec.android.app.shealth,5078617,86400000,0a3bf33e-cfd9-42d5-9bde-630f07106250,2025-01-26 00:00:00.000,
0,62900750,0,6634000,7976,300,10726055,90,6635754,62930070,2025-02-20 06:15:34.941,10,2025-02-04 12:55:12.152,0.0,30,30,-1,5603842,196,15,0,8,9632.267,3450000,1089.4357,3375b467-5092-4ec4-9321-8602bdfe333a.extra_data.json,3QItrwNcp5,21600,com.sec.android.app.shealth,4068701,86400000,3375b467-5092-4ec4-9321-8602bdfe333a,2025-01-24 00:00:00.000,
0,62900750,0,10485000,13686,300,16326069,90,10485931,62920010,2025-02-08 10:58:29.077,10,2025-02-04 12:55:12.301,0.0,30,30,-1,5292737,301,20,0,8,7249.364,0,1677.5851,717a339c-5c0a-409d-95fd-13b32203ca71.extra_data.json,3QItrwNcp5,27113,com.sec.android.app.shealth,5813025,86400000,717a339c-5c0a-409d-95fd-13b32203ca71,2025-01-20 00:00:00.000,
0,62900750,0,0,5241,300,3412443,90,0,62920010,2025-02-08 10:58:29.582,10,2025-02-04 12:55:12.407,0.0,30,30,-1,60000,62,17,0,8,4156.8394,0,211.39,36e2a3e0-c53b-40c3-88e8-d10799abe1a4.extra_data.json,3QItrwNcp5,124800,com.sec.android.app.shealth,3287643,86400000,36e2a3e0-c53b-40c3-88e8-d10799abe1a4,2025-01-17 00:00:00.000,
0,62900750,0,5102000,16954,300,12092791,90,2410273,62920010,2025-02-08 10:58:30.051,10,2025-02-04 12:55:12.499,0.0,30,30,-1,2501490,223,18,0,8,12212.282,0,1176.3054,04737256-7983-4f04-9124-1eb5030536ab.extra_data.json,3QItrwNcp5,188000,com.sec.android.app.shealth,9494518,86400000,04737256-7983-4f04-9124-1eb5030536ab,2025-01-15 00:00:00.000,
0,62900750,0,12844000,20693,300,17244412,90,12845578,62920010,2025-02-08 10:58:30.634,10,2025-02-04 12:55:12.577,0.0,30,30,-1,6812794,317,16,0,8,12992.544,0,1680.2671,687ca9a7-9870-43af-8054-86396e7f8516.extra_data.json,3QItrwNcp5,23512,com.sec.android.app.shealth,4375322,86400000,687ca9a7-9870-43af-8054-86396e7f8516,2025-01-13 00:00:00.000,
0,62900750,0,0,13978,300,9131805,90,0,62920010,2025-02-08 10:58:30.775,10,2025-02-04 12:55:12.631,0.0,30,30,-1,300000,167,16,0,8,11204.711,0,598.4798,a200e351-d34c-4db6-8fae-911872ae45e1.extra_data.json,3QItrwNcp5,239193,com.sec.android.app.shealth,8892612,86400000,a200e351-d34c-4db6-8fae-911872ae45e1,2025-01-12 00:00:00.000,
0,62900750,0,0,0,300,0,90,0,62900750,2025-02-04 13:17:29.482,10,2025-02-04 12:55:12.801,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,3d201ad8-7d95-4542-9f9b-a26a92df276a.extra_data.json,3QItrwNcp5,0,com.sec.android.app.shealth,0,86400000,3d201ad8-7d95-4542-9f9b-a26a92df276a,2025-01-08 00:00:00.000,
0,62900750,0,9047000,8896,300,12154783,90,9048246,62930070,2025-03-04 06:15:13.308,10,2025-02-04 18:30:00.290,0.0,30,30,-1,4929260,224,14,0,8,4061.7114,5770000,1394.2654,c198d60b-f3db-41a1-b19b-c6d5cf6f8779.extra_data.json,3QItrwNcp5,43079,com.sec.android.app.shealth,3063458,86400000,c198d60b-f3db-41a1-b19b-c6d5cf6f8779,2025-02-05 00:00:00.000,
,,,,10443,,5580080,90,0,,2021-10-12 19:21:51.968,,2021-10-11 18:30:00.507,,,,-1,2667840,102,,,,7589.4194,,493.7363,2f3d8fb9-2510-4621-a7e4-e75b73dec827.extra_data.json,BpIW3aQ9BJ,28222,com.sec.android.app.shealth,5551858,17400000,2f3d8fb9-2510-4621-a7e4-e75b73dec827,2021-10-12 00:00:00.000,
,,,,3996,,4248837,90,1832241,,2021-10-13 18:23:47.712,,2021-10-12 18:30:00.694,,,,-1,1832241,77,,,,3134.7366,,766.2421,2b8cbd29-44e6-4ae4-8af5-8ec325543896.extra_data.json,BpIW3aQ9BJ,1600,com.sec.android.app.shealth,2414996,13980000,2b8cbd29-44e6-4ae4-8af5-8ec325543896,2021-10-13 00:00:00.000,
,,,,6260,,6623239,90,4220527,,2021-10-13 16:17:36.410,,2021-10-07 18:30:00.443,,,,-1,4220527,121,,,,2782.0864,,766.57526,910c9e31-f96b-46e7-a7b6-98043e7094ce.extra_data.json,BpIW3aQ9BJ,2800,com.sec.android.app.shealth,2399912,12600000,910c9e31-f96b-46e7-a7b6-98043e7094ce,2021-10-08 00:00:00.000,
,,,,4595,,5438904,90,2715561,,2021-10-15 02:43:42.431,,2021-10-13 18:30:01.808,,,,-1,2801836,100,,,,3559.7466,,821.87994,0863eaa5-12aa-42d8-9abd-6b73f7cbb65b.extra_data.json,BpIW3aQ9BJ,14521,com.sec.android.app.shealth,2708822,22620000,0863eaa5-12aa-42d8-9abd-6b73f7cbb65b,2021-10-14 00:00:00.000,
,,,,4817,,5733979,90,3025220,,2021-10-15 22:06:22.925,,2021-10-14 18:30:00.588,,,,-1,3050620,105,,,,3624.4272,,987.9634,e7dea4f6-02e4-4e6a-9936-239c567aae88.extra_data.json,BpIW3aQ9BJ,800,com.sec.android.app.shealth,2707959,20340000,e7dea4f6-02e4-4e6a-9936-239c567aae88,2021-10-15 00:00:00.000,
,,,,9727,,8395512,90,3000516,,2021-10-16 18:05:42.997,,2021-10-15 18:47:03.086,,,,-1,3000516,154,,,,7083.558,,1018.3954,4453bbeb-e820-4c96-a3cb-d691ffabe680.extra_data.json,BpIW3aQ9BJ,90414,com.sec.android.app.shealth,5304582,14160000,4453bbeb-e820-4c96-a3cb-d691ffabe680,2021-10-16 00:00:00.000,
,,,,9388,,5782032,90,0,,2021-10-18 02:44:45.249,,2021-10-16 18:30:00.652,,,,-1,1119103,106,,,,7063.1,,456.09848,fee6e438-31b2-49ba-ad00-a004c417cc0b.extra_data.json,BpIW3aQ9BJ,21200,com.sec.android.app.shealth,5760832,30480000,fee6e438-31b2-49ba-ad00-a004c417cc0b,2021-10-17 00:00:00.000,
,,,,4870,,3140719,90,0,,2021-10-18 18:15:35.075,,2021-10-17 18:30:00.623,,,,-1,120000,57,,,,3790.9048,,206.65385,e4b2175b-9cd6-4438-a549-0c8733178c9a.extra_data.json,BpIW3aQ9BJ,8000,com.sec.android.app.shealth,3132719,13380000,e4b2175b-9cd6-4438-a549-0c8733178c9a,2021-10-18 00:00:00.000,
