com.samsung.shealth.badge,6302031,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-07-23 18:30:00.000,,100003,1,,2023-07-25 09:40:05.524,2023-07-25 09:40:05.524,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC+0530,8898.459675192833,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.pedometer,2023-07-23 18:30:00.000,01994339-f23e-43fd-adab-876c225cd8a3,
,2023-07-26 08:10:03.724,,,1,,2023-07-26 02:40:03.825,2023-07-26 02:40:03.825,,sleep_goal_first_sleep,,,UTC+0000,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2023-07-26 08:10:03.724,5f098e26-91fd-458f-89e2-b10dd224dd44,
,2023-08-16 08:02:58.886,,,1,,2023-08-16 08:02:59.498,2023-08-16 08:02:59.498,,weight_first_body_check,,,UTC+0530,,z/yAO0rODv,com.sec.android.app.shealth,,tracker.weight,2023-08-16 08:02:58.886,b08bde19-3fe0-4c8f-bcf7-e804a1a89e41,
,2023-08-17 13:59:33.689,4004,,1,,2023-08-17 15:15:02.966,2023-08-17 15:15:02.966,,exercise_goal_first_achieve,,,UTC+0530,,z/yAO0rODv,com.sec.android.app.shealth,7864ce90-76a6-4be2-991e-b3175a9a2abd,tracker.exercise,2023-08-17 15:15:02.645,8d4ce08f-2430-4266-823d-428557a04d67,
,2023-08-18 13:57:41.166,15005,,1,,2023-08-18 14:23:37.885,2023-08-18 14:23:37.885,,exercise_goal_first_achieve,,,UTC+0530,,z/yAO0rODv,com.sec.android.app.shealth,d3ef0bb3-4d2d-49fe-97d2-c53d014b223a,tracker.exercise,2023-08-18 14:23:37.742,e12a08e2-60e5-4958-a80f-c2b4d7f5f8b1,
,2023-08-19 13:06:48.566,9014001,,1,,2023-08-19 14:17:55.667,2023-08-19 14:17:55.667,,exercise_goal_first_achieve,,,UTC+0530,,z/yAO0rODv,com.sec.android.app.shealth,a35a2f07-51d7-4fd2-ac90-9d316bec19a6,tracker.exercise,2023-08-19 14:17:38.269,36bf3dd9-5282-4860-9fae-85c9796aba6b,
,2023-08-21 17:46:00.918,1001,,1,,2023-08-21 18:00:18.816,2023-08-21 18:00:18.816,,exercise_goal_first_achieve,,,UTC+0530,,z/yAO0rODv,com.sec.android.app.shealth,c0850b3b-591a-434c-b0a5-d43666278123,tracker.exercise,2023-08-21 18:00:18.674,92cef997-d449-4d6c-8fe5-3e8172373ed8,
,2023-08-22 15:20:29.452,6003,,1,,2023-08-22 16:36:07.098,2023-08-22 16:36:07.098,,exercise_goal_first_achieve,,,UTC+0530,,z/yAO0rODv,com.sec.android.app.shealth,0edbd69b-0b40-41e6-85a9-b39f9cbc2201,tracker.exercise,2023-08-22 16:36:06.829,37f9f44b-5dd4-4fcd-bf6f-7ffdcd52d1cf,
,2023-08-23 18:13:39.190,1002,,1,,2023-08-23 18:32:34.453,2023-08-23 18:32:20.281,,running_first_run,,1,UTC+0530,,z/yAO0rODv,com.sec.android.app.shealth,c0bb29ba-051c-4cd2-8789-7502f3364c3d,tracker.exercise,2023-08-23 18:32:16.078,b4be9200-0110-4930-b5dd-1fc0385c3255,
,2023-08-03 00:00:00.000,,,1,c4deaae2-3ae6-4a80-a131-7e0e66bb67b4,2023-08-24 03:18:49.313,2023-08-24 03:18:49.313,,sleep_coaching_completion_deer,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2023-08-23 00:00:00.000,492d67be-6111-42d5-8b98-81ab0e5b34f7,
