com.samsung.shealth.best_records,6302031,3
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_data,extra_type,deviceuuid,pkg_name,controller_id,datauuid
1d868aa4-87b4-4efe-9b8a-d75a56e48375,-1,2023-06-21 06:15:39.358,2021-10-20 15:23:02.761,,1634759181357,2,1144.1299,,,14001,BpIW3aQ9BJ,com.sec.android.app.shealth,tracker.sport_others,bc209182-d0d5-4ab2-832e-785fb98aacd0,
22238fe5-b946-4270-8d20-b273e2d934a0,-1,2023-06-21 06:15:39.361,2023-01-15 17:43:00.031,,1673812834307,1,1.1533514E7,,,4004,EmOHuC/o0o,com.sec.android.app.shealth,tracker.sport_others,1d50ee82-0db3-4769-98bd-05b01982aad1,
22238fe5-b946-4270-8d20-b273e2d934a0,-1,2023-06-21 06:15:39.361,2023-01-15 17:43:00.097,,1673812834307,2,1873.1594,,,4004,EmOHuC/o0o,com.sec.android.app.shealth,tracker.sport_others,484f2e3b-7437-4e9c-a2ea-c62be3dde2cc,
2b07ca2e-8771-4d49-91b6-fe21edede402,-1,2023-06-21 06:15:39.364,2021-12-07 16:50:38.086,,1638905233823,1,1.039446E7,,,6003,Rju+KmA1Z1,com.sec.android.app.shealth,tracker.sport_others,94653538-6c27-48fa-8f3d-8f7c3d6dd498,
2b07ca2e-8771-4d49-91b6-fe21edede402,-1,2023-06-21 06:15:39.364,2021-12-07 16:50:38.110,,1638905233823,2,1497.3806,,,6003,Rju+KmA1Z1,com.sec.android.app.shealth,tracker.sport_others,3123e4ba-01a5-44e9-9409-cc3f1ede1d42,
2e578612-08a6-42c8-844d-f8bbe47269d2,-1,2023-06-21 06:15:39.367,2023-02-19 19:35:00.710,,1676840556707,1,1.4528749E7,,,4004,EmOHuC/o0o,com.sec.android.app.shealth,tracker.sport_others,a214c412-c2b6-4b96-8194-9b060ec18f45,
2e578612-08a6-42c8-844d-f8bbe47269d2,-1,2023-06-21 06:15:39.367,2023-02-19 19:35:00.739,,1676840556707,2,2251.209,,,4004,EmOHuC/o0o,com.sec.android.app.shealth,tracker.sport_others,38b15107-e838-4c71-9423-5039f5c6f97a,
36463876-594b-4fa2-8094-45c7a29507e8,-1,2023-06-21 06:15:39.371,2022-04-24 11:25:25.852,,1650796693486,2,1723.107,,,-1,EmOHuC/o0o,com.sec.android.app.shealth,tracker.sport_walking,2564d32e-af29-4781-a669-a18fede3c7d2,
78ea1e01-9ee4-4fb3-abf5-772c5761144b,-1,2023-06-21 06:15:39.373,2021-10-12 14:55:02.036,,1634067421736,3,3983.824,,,-1,BpIW3aQ9BJ,com.sec.android.app.shealth,tracker.sport_walking,dba8afaa-3d13-41a9-9969-e5fb5cc2540e,
78ea1e01-9ee4-4fb3-abf5-772c5761144b,-1,2023-06-21 06:15:39.373,2021-10-12 14:55:01.981,,1634067421736,4,2.053,,,-1,BpIW3aQ9BJ,com.sec.android.app.shealth,tracker.sport_walking,edaccd6c-101c-439d-a33b-11b03ea4e321,
9a62bdfc-86f6-4f44-8548-be3779a4aa63,-1,2023-06-21 06:15:39.375,2021-12-14 17:07:05.051,,1639515184401,3,5706.865,,,-1,Rju+KmA1Z1,com.sec.android.app.shealth,tracker.sport_walking,1b30a258-b136-45f6-9f87-a737d5ffb8fa,
9b7ffb40-ef19-4d2e-be56-7a020d5ed1a9,-1,2023-06-21 06:15:39.377,2021-10-25 15:09:12.321,,1635191386647,4,2.171,,,-1,BpIW3aQ9BJ,com.sec.android.app.shealth,tracker.sport_walking,a6d1176a-c447-4836-b358-4e44ee79c75e,
a30f4a98-9074-4a5f-aa82-71b465a494a5,-1,2023-06-21 06:15:39.378,2021-11-05 03:34:56.428,,1636101686814,3,4053.7239,,,-1,BpIW3aQ9BJ,com.sec.android.app.shealth,tracker.sport_cycling,9c203bd7-6f12-4579-9a8d-20ba35d88129,
f1029688-8232-4052-8a22-9136b6dbd6ed,-1,2023-06-21 06:15:39.381,2021-10-26 16:19:49.022,,1635276285006,1,8694650.0,,,14001,BpIW3aQ9BJ,com.sec.android.app.shealth,tracker.sport_others,dc3d531c-51ad-470a-b144-444055e5549f,
a35a2f07-51d7-4fd2-ac90-9d316bec19a6,,2023-08-19 14:17:55.580,2023-08-19 14:17:55.580,,1692454675576,15,894509.0,,,,z/yAO0rODv,com.sec.android.app.shealth,tracker.sport_swimming_14001,943986f4-047b-4327-97bd-84642d6fb807,
a35a2f07-51d7-4fd2-ac90-9d316bec19a6,,2023-08-19 14:17:55.603,2023-08-19 14:17:55.603,,1692454675599,14,404564.0,,,,z/yAO0rODv,com.sec.android.app.shealth,tracker.sport_swimming_14001,7a3c541c-c7f3-4bb6-a482-3dd185208307,
a35a2f07-51d7-4fd2-ac90-9d316bec19a6,,2023-08-19 14:17:55.616,2023-08-19 14:17:55.616,,1692454675612,13,208597.0,,,,z/yAO0rODv,com.sec.android.app.shealth,tracker.sport_swimming_14001,102da871-8f39-4797-8c51-0d34163c247b,
a35a2f07-51d7-4fd2-ac90-9d316bec19a6,,2023-08-19 14:17:55.635,2023-08-19 14:17:55.635,,1692454675630,3,1429.0,,,,z/yAO0rODv,com.sec.android.app.shealth,tracker.sport_swimming_14001,e1872b4e-53ce-4c38-939c-3ac3c3df90f5,
c0bb29ba-051c-4cd2-8789-7502f3364c3d,,2023-08-23 18:32:20.231,2023-08-23 18:32:20.231,,1692815540198,3,1642.175,,,,z/yAO0rODv,com.sec.android.app.shealth,tracker.sport_running,a370498c-43bd-4dbb-88f8-42237bbf58fb,
c0bb29ba-051c-4cd2-8789-7502f3364c3d,,2023-08-23 18:32:34.458,2023-08-23 18:32:20.253,,1692815540249,7,1.5977932,1,,,z/yAO0rODv,com.sec.android.app.shealth,tracker.sport_running,80fb220e-a614-4175-812e-c5bbe83f12b6,
7c89c1c7-28c0-486b-b31d-345cd9620d8b,,2023-09-30 03:58:09.389,2023-09-30 03:58:09.389,,1696046289379,13,156515.0,,,,z/yAO0rODv,com.sec.android.app.shealth,tracker.sport_swimming_14001,c6451001-49b7-4701-b0bd-9ce249789dc1,
346a43ff-014e-498b-a1e3-0f970633edb0,-1,2023-10-26 17:18:44.896,2021-10-27 03:06:09.257,,1635322790477,4,10.876,1,,-1,BpIW3aQ9BJ,com.sec.android.app.shealth,tracker.sport_cycling,6e8afee1-063a-44fa-bd36-297690cfb96b,
1cea89dd-f0a6-4017-894d-1b9b96b1c847,,2024-01-21 11:30:25.396,2024-01-21 11:30:25.396,,1705836625390,3,12788.666,,,,Zi2tKAbhgt,com.sec.android.app.shealth,tracker.sport_cycling,38deb5a6-23f6-47e7-ba74-9fcff0f2f873,
58fa288c-a247-4ee3-8554-d100c4e0b5f0,,2024-01-26 04:42:24.561,2024-01-26 04:42:24.561,,1706244144544,3,2599.971,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_running,5c65d4e3-f2e4-4361-b113-a55c7c8e883c,
58fa288c-a247-4ee3-8554-d100c4e0b5f0,,2024-01-26 04:42:24.583,2024-01-26 04:42:24.583,,1706244144579,7,1.6703882,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_running,aebb5683-cac3-4d20-86e9-1b605dc285c1,
dc102b1b-2cb2-49bf-8aa1-d0039b67122d,,2024-04-20 09:48:45.285,2024-04-20 09:48:45.285,,1713606525239,5,63.922,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_cycling,d388603d-7423-42d3-9f76-627392953cfd,
b3679f59-fcd9-4538-9559-e63469631871,,2024-05-25 05:31:08.161,2024-05-25 05:31:08.161,,1716615068155,3,16753.775,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_cycling,aca35163-24d9-4d2b-b441-7dd1668b0487,
af2100ad-b7a0-4a85-9dd5-a8dc46e6551e,,2024-05-26 14:40:03.794,2024-05-26 14:40:03.794,,1716734403789,3,17870.559,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_cycling,d28e402b-a217-4d7a-9054-688494526c8e,
7d50d16b-201b-4b0e-adbe-8c31a5bf7d3e,,2024-06-15 13:13:31.338,2024-06-15 13:13:31.338,,1718457211331,15,700892.0,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_swimming_14001,b6c766d2-bd9b-4419-b354-cf0ccedb3676,
36262e47-9d8a-46f2-8f29-a61fdf5d8270,,2024-07-07 14:05:25.006,2024-07-07 14:05:25.006,,1720361124996,13,130407.0,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_swimming_14001,dbf5d34d-42fe-4067-8006-30f8318549e4,
842fbff0-5ea1-45bb-991e-3956c6f19ca1,,2024-07-12 18:00:57.930,2024-07-12 16:23:10.292,,1720801390287,3,20197.25,1,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_cycling,f196db5c-085c-4872-a5f5-12503de97183,
861e6107-4102-41e1-b650-47dc9e6ed5e5,,2024-07-28 15:32:49.490,2024-07-28 10:06:06.083,,1722161166075,3,28081.686,1,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_cycling,dc4cccf1-1879-434a-8ca5-2f4486e95d1b,
,-100003,2025-07-08 22:33:44.446,2024-09-18 06:35:18.346,,1633996800000,0,10443.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,2deada8a-ec7f-4308-a2fc-a4d88d9487cf,
,-100003,2025-07-08 22:33:44.496,2024-09-18 06:35:18.449,,1637366400000,0,13310.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,10b06f78-4da9-4aaa-9f63-88ed595b7a83,
,-100003,2025-07-08 22:33:44.500,2024-09-18 06:35:18.700,,1639180800000,0,13571.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,adc07b70-f8c9-41ab-bbb5-1ebb8203ab6c,
,-100003,2025-07-08 22:33:44.502,2024-09-18 06:35:18.729,,1639785600000,0,23416.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,084dcf1f-0671-4da6-9c9a-61bd98810296,
,-100003,2025-07-08 22:33:44.543,2024-09-18 06:35:18.827,,1672444800000,0,28993.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,adad379e-0178-4774-b41c-43ace5550c77,
,-100003,2025-07-08 22:33:44.549,2024-09-18 06:35:18.846,,1695340800000,0,33787.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,c358d6fd-36c4-4649-af62-a5e863b274b5,
,-1,2025-07-08 22:33:48.765,2024-10-23 20:17:32.061,,1636761600000,6,24.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,dd6d071b-6b75-4897-b077-5c2410acc542,
,-1,2025-07-08 22:33:50.527,2024-10-23 20:17:32.082,,1647734400000,6,30.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,a29ca986-81f2-4ac2-a8f8-bf1ea3e227e2,
,-1,2025-07-08 22:33:50.584,2024-10-23 20:17:32.100,,1669593600000,6,57.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,5ee64e59-6980-4be5-97ec-1168f49a8f29,
,-1,2025-07-08 22:33:50.606,2024-10-23 20:17:32.104,,1670112000000,6,59.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,a0e61c29-90d0-46c5-8ea9-56b82ddb24a5,
,-1,2025-07-08 22:33:50.628,2024-10-23 20:17:32.143,,1703289600000,6,62.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,f2ef7382-af8f-40d6-837e-7a4fd0e89ea3,
,-1,2025-07-08 22:33:50.646,2024-10-23 20:17:32.155,,1715385600000,6,131.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,d8961ca7-7929-4673-a6f2-de8bee2d5326,
5763007d-7c0f-4027-87ce-e85972e36418,,2024-11-02 05:26:24.279,2024-11-02 05:26:24.279,,1730541265402,14,245554.0,,,,/l7YF9Xtrq,com.sec.android.app.shealth,tracker.sport_swimming_14001,de8039bf-9762-4d6b-be93-c0ff64387a7f,
ff38cd59-e7e6-4522-83c9-7c65752dfe82,,2024-12-31 04:17:16.604,2024-12-31 04:17:16.604,,1735636040339,3,4241.75,,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,0fc561da-e581-4cf5-ba3c-69ef611ab4bb,
ff38cd59-e7e6-4522-83c9-7c65752dfe82,,2024-12-31 04:17:16.652,2024-12-31 04:17:16.652,,1735636040339,7,1.7983005,,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,02136a00-2505-445b-87cd-49564afe5657,
31987f32-578a-42fa-b78a-0b44ecfd1917,,2025-07-08 23:46:29.610,2025-01-21 17:55:13.859,,1737498977249,8,2896768.0,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,af32b417-0572-49b8-9606-4356c3d5f09b,
31987f32-578a-42fa-b78a-0b44ecfd1917,,2025-07-08 23:46:29.611,2025-01-21 17:55:13.922,,1737498977249,3,5067.219,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,8bfed20c-332c-47ae-8c43-d7bbd1f1a21c,
7474934a-c365-4300-a6a8-e6126985063d,,2025-03-16 14:15:25.317,2025-03-16 14:15:25.317,,1742150406130,5,103.199,,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_cycling,eeaf87c3-cf87-466f-b4b4-d8af7465df00,
601c24ce-832d-436c-b6f9-aff9cab44cb9,,2025-03-31 03:12:37.230,2025-03-31 03:12:37.230,,1743410163062,7,1.9990062,,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,778e49fb-db97-47bf-988b-b94fedcdf1e2,
4aa68fe2-f991-499a-ace2-68eb2bac2050,,2025-07-06 16:30:52.315,2025-07-06 00:27:18.101,,1751739611800,7,2.078757,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,a19b8297-2e31-4bc0-b717-22e7412cb8ce,
31e7c291-7ac3-4bba-87a6-0b613c32a4a0,,2025-07-08 23:17:16.808,2025-07-08 23:15:41.046,,1751993885403,7,2.1330197,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,db7e8697-5940-4638-90e1-2014a7cfd71e,
4ec3c7ba-b839-4d63-aa8f-33b5cdfe5087,,2025-07-12 05:37:02.475,2025-07-12 00:22:53.040,,1752255932917,7,2.2137432,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,61024ac0-fc34-474f-a3f4-530da550eaeb,
31bc55e6-226e-41b6-a9ab-f8301087d33f,,2025-07-15 05:32:33.418,2025-07-15 02:32:17.394,,1752523936691,7,2.3365111,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,06554d4e-b9fb-4978-81ec-84b5eb57cc50,
4d6a34f6-c40b-4c4e-9183-bb462adb732f,,2025-07-16 23:29:00.474,2025-07-16 23:23:23.107,,1752685283467,7,2.3860798,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,70f76529-d95d-49ef-a8ab-918ef9e3a429,
cc482d3b-722a-41c2-8acf-7354ef2fa413,,2025-07-19 03:32:50.078,2025-07-19 03:19:27.747,,1752871372252,8,2161593.0,1,,,tFCCLQvz7k,com.sec.android.app.shealth,tracker.sport_running,1d74946d-37ca-4ea9-9b96-a6151af40aaf,
