com.samsung.shealth.exercise.hr_zone,6302031,1
create_sh_ver,start_time,max_hr_custom,modify_sh_ver,update_time,create_time,at,ant,version,time_offset,deviceuuid,pkg_name,max_hr_auto,datauuid
62720071,2024-10-12 17:42:41.948,,62720071,2024-10-12 17:42:41.950,2024-10-12 17:42:41.950,137,175,1,UTC+0530,/l7YF9Xtrq,com.sec.android.app.shealth,188,571bd9fc-d718-469e-bdd7-34d95f193ac1,
62800471,2024-12-31 04:17:18.006,,62800471,2024-12-31 04:17:18.022,2024-12-31 04:17:18.022,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,1fdafb39-517b-4e17-8589-3869f001b8aa,
62900571,2025-01-19 16:21:18.494,,62900571,2025-01-19 16:21:18.501,2025-01-19 16:21:18.501,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,dcd49e4d-8c07-481a-bc11-ef5196fe9bff,
62900571,2025-01-21 17:55:15.125,,62900571,2025-01-21 17:55:15.132,2025-01-21 17:55:15.132,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,6dd1981d-feba-4b60-a0b2-330ee246a407,
62900571,2025-01-23 17:54:06.703,,62900571,2025-01-23 17:54:06.719,2025-01-23 17:54:06.719,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,782eaa18-a99c-4729-be6f-ffc8c2ccb354,
62900571,2025-01-25 15:06:08.761,,62900571,2025-01-25 15:06:08.791,2025-01-25 15:06:08.791,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,aa2578e7-f78d-4fec-abb0-f83024b4f12b,
62900571,2025-01-28 18:16:17.696,,62900571,2025-01-28 18:16:17.707,2025-01-28 18:16:17.707,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,4280f876-7a0e-4971-b536-36eee3716e82,
62900571,2025-01-30 16:46:22.807,,62900571,2025-01-30 16:46:22.809,2025-01-30 16:46:22.809,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,5bf2e9ee-175d-4616-99e0-2257c1e9c9e2,
62720071,2024-10-12 16:23:00.682,,62720071,2024-10-12 16:23:00.697,2024-10-12 16:23:00.697,137,175,1,UTC+0530,/l7YF9Xtrq,com.sec.android.app.shealth,188,cea1b387-2f16-4b07-9248-0c60dd5df0fd,
62900571,2025-02-06 15:40:33.153,,62900571,2025-02-06 15:40:33.163,2025-02-06 15:40:33.163,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,cc933cb4-cb80-4605-a2cc-99106f165917,
62910031,2025-02-18 11:24:50.711,,62910031,2025-02-18 11:24:50.717,2025-02-18 11:24:50.717,139,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,9be6b529-f6d7-412e-ba46-9ca72660beba,
62910031,2025-02-28 17:30:47.172,,62910031,2025-02-28 17:30:47.177,2025-02-28 17:30:47.177,139,173,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,ce9a3f58-1372-4923-b6a8-951777026cf6,
62910031,2025-03-07 17:41:03.810,,62910031,2025-03-07 17:41:03.813,2025-03-07 17:41:03.813,139,173,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,ee36729d-5591-4448-94e0-8372f418fd0b,
62910031,2025-03-25 16:27:36.900,,62910031,2025-03-25 16:27:36.917,2025-03-25 16:27:36.917,140,173,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,187,a2ebfa44-e4e7-4a2c-b97b-5e8bd9dd9729,
62970091,2025-05-02 01:11:30.848,,62970091,2025-05-02 01:11:30.857,2025-05-02 01:11:30.857,140,174,1,UTC+0530,tFCCLQvz7k,com.sec.android.app.shealth,188,a3800aaa-bdcf-4d41-83c3-b7fd4b3a5d34,
