com.samsung.shealth.exercise.program_schedule,6302031,3
duration,planned_date,state_update_time,week_info_id,custom,pace_info_id,day_info_id,update_time,create_time,state_updated_by,program_id,state,distance,deviceuuid,pkg_name,tracker_id,workout_day,program_info_id,datauuid
0,2025-01-21 22:30:00.000,2025-01-14 03:46:44.036,,1a009c72-8445-4b22-b9c9-eb5593f93c62.custom.json,0,,2025-01-14 03:46:44.353,2025-01-14 03:46:44.353,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,1a009c72-8445-4b22-b9c9-eb5593f93c62,
0,2025-01-23 22:30:00.000,2025-01-14 03:46:44.037,,5aebec4b-ce97-4c7a-aee9-76351c2b64e9.custom.json,0,,2025-01-14 03:46:44.356,2025-01-14 03:46:44.356,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,5aebec4b-ce97-4c7a-aee9-76351c2b64e9,
0,2025-01-25 22:30:00.000,2025-01-14 03:46:44.037,,b0bc567a-a1f4-4cde-b6b2-5eb0a3eac410.custom.json,0,,2025-01-14 03:46:44.363,2025-01-14 03:46:44.363,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,b0bc567a-a1f4-4cde-b6b2-5eb0a3eac410,
0,2025-01-26 22:30:00.000,2025-01-14 03:46:44.037,,c2531e67-57a4-48fc-98e8-eb08e029df48.custom.json,0,,2025-01-14 03:46:44.367,2025-01-14 03:46:44.367,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,c2531e67-57a4-48fc-98e8-eb08e029df48,
1800,2025-01-29 22:30:00.000,2025-01-14 03:46:44.037,,d653828d-d25b-4831-8505-192a18f130e8.custom.json,110100205,,2025-01-14 03:46:44.376,2025-01-14 03:46:44.376,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,d653828d-d25b-4831-8505-192a18f130e8,
0,2025-01-19 22:30:00.000,2025-01-14 03:46:44.034,,869412e3-1f1a-4aea-bb66-bed87a172af5.custom.json,0,,2025-01-14 03:46:44.339,2025-01-14 03:46:44.339,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,869412e3-1f1a-4aea-bb66-bed87a172af5,
0,2025-01-30 22:30:00.000,2025-01-14 03:46:44.037,,6f4e6298-0d20-4fd0-a01f-853199af21bd.custom.json,0,,2025-01-14 03:46:44.380,2025-01-14 03:46:44.380,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,6f4e6298-0d20-4fd0-a01f-853199af21bd,
1860,2025-02-05 22:30:00.000,2025-01-14 03:46:44.038,,f34f61f2-8cc8-47ce-aedd-1e32b33e482e.custom.json,110100308,,2025-02-06 15:40:48.268,2025-01-14 03:46:44.399,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,300,2545.0,EmOHuC/o0o,com.sec.android.app.shealth,8ce5f865-5d93-4994-ad17-dd255fba31d4,1,program.sport_couch_to_5k_ex_v010,f34f61f2-8cc8-47ce-aedd-1e32b33e482e,
1860,2025-02-03 22:30:00.000,2025-01-14 03:46:44.038,,4376e9eb-21c8-462d-b90a-cfda48ebb52b.custom.json,110100307,,2025-01-14 03:46:44.395,2025-01-14 03:46:44.395,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,2470.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,4376e9eb-21c8-462d-b90a-cfda48ebb52b,
1860,2025-02-07 22:30:00.000,2025-01-14 03:46:44.040,,a9ee9327-cb2d-4635-b120-78ff3c70612c.custom.json,110100309,,2025-01-14 03:46:44.410,2025-01-14 03:46:44.410,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,2590.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,a9ee9327-cb2d-4635-b120-78ff3c70612c,
0,2025-02-02 22:30:00.000,2025-01-14 03:46:44.038,,e2d64759-ea48-46fd-aeab-e5469246ebe1.custom.json,0,,2025-01-14 03:46:44.389,2025-01-14 03:46:44.389,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,e2d64759-ea48-46fd-aeab-e5469246ebe1,
0,2025-02-09 22:30:00.000,2025-01-14 03:46:44.040,,75e24860-487d-43b6-b0cd-c7b8ba85cd01.custom.json,0,,2025-01-14 03:46:44.433,2025-01-14 03:46:44.433,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,75e24860-487d-43b6-b0cd-c7b8ba85cd01,
1800,2025-01-31 22:30:00.000,2025-01-14 03:46:44.038,,aff22df1-7beb-4827-87a1-ea74a35fea32.custom.json,110100206,,2025-01-14 03:46:44.382,2025-01-14 03:46:44.382,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,aff22df1-7beb-4827-87a1-ea74a35fea32,
