com.samsung.shealth.exercise.weather,6302031,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,,2025-01-21 17:09:38.065,13.023552,,40.NE,Mist,,1,TWC,2025-01-21 17:55:21.070,2025-01-21 17:55:21.070,1,80.17678,24.0,84,UTC+0530,tFCCLQvz7k,31987f32-578a-42fa-b78a-0b44ecfd1917,com.sec.android.app.shealth,km/h,,11.0,4,4c2095ea-0014-43c9-bd31-93621e4bee2b,
,,2025-01-22 04:16:07.237,13.038463,,30.NNE,Fog,,1,TWC,2025-01-22 04:34:40.195,2025-01-22 04:34:40.195,1,80.14893,26.0,78,UTC+0530,tFCCLQvz7k,b93e6d7e-54bc-4694-aa07-4fbed5f7c4bf,com.sec.android.app.shealth,km/h,,10.0,4,aa3505a2-7944-4399-825c-7c25feccdde4,
,,2025-01-22 18:02:50.665,13.024008,,70.ENE,Fog,,1,TWC,2025-01-22 18:26:23.194,2025-01-22 18:26:23.194,1,80.177704,24.0,86,UTC+0530,tFCCLQvz7k,03490eba-8fcf-4d09-bff8-05f2f96b469e,com.sec.android.app.shealth,km/h,,3.0,4,6bcd5101-e62d-46fc-9dec-04a03bd75df7,
,,2025-01-23 17:08:25.291,13.023116,,40.NE,Fog,,1,TWC,2025-01-23 17:54:14.657,2025-01-23 17:54:14.657,1,80.17561,26.0,77,UTC+0530,tFCCLQvz7k,666ae810-8725-4105-a647-8461598e7af2,com.sec.android.app.shealth,km/h,,8.0,4,2b6e2b38-16ae-478b-a5dd-6cc154be31fc,
,,2025-01-24 03:50:42.427,13.038294,,40.NE,Fog,,1,TWC,2025-01-24 04:08:38.915,2025-01-24 04:08:38.915,1,80.14818,26.0,79,UTC+0530,tFCCLQvz7k,ed66dd22-4fbb-422b-b86e-7ce8e9a88df7,com.sec.android.app.shealth,km/h,,10.0,4,f4930a72-8286-4162-aeba-ad039588f792,
,,2025-01-25 14:34:04.996,13.004665,,40.NE,Partly Cloudy,,1,TWC,2025-01-25 15:06:14.098,2025-01-25 15:06:14.098,1,80.2014,25.0,78,UTC+0530,tFCCLQvz7k,0240a525-8aac-4739-a0bb-e604c383637e,com.sec.android.app.shealth,km/h,,11.0,19,684b121d-82a6-4b52-9202-5ef310656a56,
,,2025-01-27 12:58:58.738,13.02272,,90.E,Haze,,1,TWC,2025-01-27 13:06:50.905,2025-01-27 13:06:50.905,1,80.17592,27.0,67,UTC+0530,tFCCLQvz7k,35b2af35-ddbe-457c-bf02-5eb7b9e3d89b,com.sec.android.app.shealth,km/h,,11.0,4,01a3128b-6a06-43e2-8201-5ffd8dac5630,
,,2025-01-27 14:29:26.435,13.022153,,80.E,Fog,,1,TWC,2025-01-27 14:45:49.986,2025-01-27 14:45:49.986,1,80.18396,26.0,79,UTC+0530,tFCCLQvz7k,d557f139-6438-4737-aaed-147a0d43a6f4,com.sec.android.app.shealth,km/h,,10.0,4,c2bc23d1-dc23-4988-80ce-2628d05d93b4,
,,2025-01-28 17:24:18.395,13.023375,,70.ENE,Fog,,1,TWC,2025-01-28 18:16:26.464,2025-01-28 18:16:26.464,1,80.17654,26.0,76,UTC+0530,tFCCLQvz7k,2cc37c87-a464-4fe4-ba33-f3ddf1dff617,com.sec.android.app.shealth,km/h,,3.0,4,a8e8aef6-50e2-4bca-920d-d112b388daea,
,,2025-01-30 15:55:00.536,13.00386,,70.ENE,Partly Cloudy,,1,TWC,2025-01-30 16:46:28.996,2025-01-30 16:46:28.996,1,80.20124,27.0,85,UTC+0530,tFCCLQvz7k,f5cf89c4-9aad-4835-95cd-771435afdb16,com.sec.android.app.shealth,km/h,,16.0,19,10d3cef1-a108-4d60-8412-62214d6bc7e6,
