com.samsung.shealth.food_favorite,6302031,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2023-06-20 17:43:03.070,2023-06-20 17:43:03.070,c718e4dd-ffe2-48e7-9776-3be8fb729883,,c718e4dd-ffe2-48e7-9776-3be8fb729883,0.0,EmOHuC/o0o,com.sec.android.app.shealth,7c50a538-f6d4-4a07-bc72-168a1b84c3c3,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
0.0,2,2023-06-20 17:41:28.753,2023-06-20 17:41:28.753,1fd06bfb-21cf-4eb9-bddc-55cb2723016d,,1fd06bfb-21cf-4eb9-bddc-55cb2723016d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,80a70f24-f185-42c8-9f9f-c9ba7ca3a918,3b9f1e82-5b71-40ec-8e9f-2d8c0b0c2ee7,
0.0,2,2023-06-20 17:41:28.753,2023-06-20 17:41:28.753,1fd06bfb-21cf-4eb9-bddc-55cb2723016d,,1fd06bfb-21cf-4eb9-bddc-55cb2723016d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,2ad005e1-f7a7-4257-a296-d629963e1dbc,14b6cdc7-a4ae-4202-bbff-143360c53a1f,
0.0,2,2023-06-20 17:43:03.070,2023-06-20 17:43:03.070,c718e4dd-ffe2-48e7-9776-3be8fb729883,,c718e4dd-ffe2-48e7-9776-3be8fb729883,0.0,EmOHuC/o0o,com.sec.android.app.shealth,4d007257-ad64-43d9-935f-5dabdb9841c2,fc93151d-93a2-4a4f-b4d5-a3aadc96d460,
1.0,3,2024-08-05 17:52:11.594,2024-08-05 17:52:11.594,Idli,120001,fb74ac84-9521-4551-8b57-2e7d4cad22b9,232.0,EmOHuC/o0o,com.sec.android.app.shealth,0ed1dc04-4876-4a21-ba0a-4295633d39d4,0d233a25-2001-40b5-b073-ff4978704342,
0.0,2,2024-08-05 17:54:23.192,2024-08-05 17:54:23.192,96f81822-cc97-4bbb-9bd4-8d27ea362bad,,96f81822-cc97-4bbb-9bd4-8d27ea362bad,0.0,EmOHuC/o0o,com.sec.android.app.shealth,621e74e6-a098-4690-bbe2-5dd676c74eff,0d233a25-2001-40b5-b073-ff4978704342,
0.0,2,2024-08-05 18:01:02.410,2024-08-05 18:01:02.410,17c5f5ef-8e76-457f-a484-5d91390f15bc,,17c5f5ef-8e76-457f-a484-5d91390f15bc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,6c251497-d245-4194-9f7b-c7cfc01fc188,6ef7ef4c-2442-48ca-a18b-465b58c17385,
0.0,2,2024-08-05 17:54:23.193,2024-08-05 17:54:23.193,96f81822-cc97-4bbb-9bd4-8d27ea362bad,,96f81822-cc97-4bbb-9bd4-8d27ea362bad,0.0,EmOHuC/o0o,com.sec.android.app.shealth,3c17f66a-5a32-4d8f-9a0d-c85d86adab6a,fbeac5f4-38d2-47da-8663-a1fb69d814dd,
0.0,2,2024-08-05 17:56:14.458,2024-08-05 17:56:14.458,98bf4df4-0507-453c-823a-093abb90e0c4,,98bf4df4-0507-453c-823a-093abb90e0c4,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e300caca-b38a-4f13-81fd-8d5c8b4e19aa,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
0.0,2,2024-08-05 17:59:29.639,2024-08-05 17:59:29.639,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,dadbe778-9c59-4070-a740-b31419cf27dc,7aaa7576-256b-4e1d-8441-de4f6b2e9c91,
0.0,2,2024-08-05 17:58:50.784,2024-08-05 17:58:50.784,e8bd4562-1432-4f35-be7a-0dc09470fe23,,e8bd4562-1432-4f35-be7a-0dc09470fe23,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e3180799-0aa6-4207-beab-820dd1699905,7aaa7576-256b-4e1d-8441-de4f6b2e9c91,
0.0,2,2024-08-05 17:56:14.458,2024-08-05 17:56:14.458,98bf4df4-0507-453c-823a-093abb90e0c4,,98bf4df4-0507-453c-823a-093abb90e0c4,0.0,EmOHuC/o0o,com.sec.android.app.shealth,7fa0979b-88a5-497b-adaf-1c95467a8b5c,ecc9096e-a7e6-446c-b740-22681378b0e7,
0.0,2,2024-08-05 17:56:14.458,2024-08-05 17:56:14.458,98bf4df4-0507-453c-823a-093abb90e0c4,,98bf4df4-0507-453c-823a-093abb90e0c4,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1f1945da-8af9-4e6a-856f-f663c2eb192b,e2c9b4d6-af02-4be7-b573-1bed5f5c368a,
0.0,2,2024-08-05 17:58:50.783,2024-08-05 17:58:50.783,e8bd4562-1432-4f35-be7a-0dc09470fe23,,e8bd4562-1432-4f35-be7a-0dc09470fe23,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e7982712-095c-4905-8ab6-f3c93d86d154,6ef7ef4c-2442-48ca-a18b-465b58c17385,
0.0,2,2024-08-05 17:59:29.639,2024-08-05 17:59:29.639,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,fcd9fc18-9a98-4833-9836-a3166d26558a,e8733fec-8c8b-4a2f-9575-a9423da8d810,
0.0,2,2024-08-05 18:05:00.862,2024-08-05 18:05:00.862,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0a1b9994-88cd-42ea-ba38-489f90072002,a75c8782-eaa8-4b64-80f6-2f14087d31cf,
0.0,2,2024-08-05 17:59:29.639,2024-08-05 17:59:29.639,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,02652c96-3a17-462b-bd5c-12445ad14423,a75c8782-eaa8-4b64-80f6-2f14087d31cf,
0.0,2,2024-08-05 18:05:00.862,2024-08-05 18:05:00.862,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e7e382cb-4f89-4e01-9236-f0cb3e822dea,6ef7ef4c-2442-48ca-a18b-465b58c17385,
0.0,2,2024-08-05 17:58:50.784,2024-08-05 17:58:50.784,e8bd4562-1432-4f35-be7a-0dc09470fe23,,e8bd4562-1432-4f35-be7a-0dc09470fe23,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1ff5d00b-27ae-4cc0-a1ae-0b3396aba5e1,a75c8782-eaa8-4b64-80f6-2f14087d31cf,
0.0,2,2024-08-05 18:05:00.862,2024-08-05 18:05:00.862,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,55591ee9-2aff-4fe2-8a3a-8e86e3a63388,e8733fec-8c8b-4a2f-9575-a9423da8d810,
