com.samsung.shealth.preferences,6302031,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-02-04 12:54:39.096,2025-02-04 12:54:49.709,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,settings.location_agreement,
,,,2025-02-04 12:54:39.091,2025-02-04 12:54:49.711,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,,2025-07-03 04:10:27.221,2025-02-04 12:54:49.736,,,,0,3QItrwNcp5,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2025-02-04 12:54:39.095,2025-02-04 12:54:49.737,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
,,,2025-07-03 04:10:27.217,2025-02-04 12:54:49.738,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2025-02-04 12:55:09.145,2025-02-04 12:55:09.156,1738673709145,,,,3QItrwNcp5,com.sec.android.app.shealth,,mw.selected_time,
,,,2025-02-04 12:55:09.145,2025-02-04 12:55:09.159,,,,3,3QItrwNcp5,com.sec.android.app.shealth,,boost.card.selected_category,
0,,,2025-02-04 12:55:11.475,2025-02-04 12:55:11.535,,,,,3QItrwNcp5,com.sec.android.app.shealth,,34-badges.DB.update,
,,,2025-07-19 02:57:25.591,2025-02-04 12:55:11.609,1737138602049,,,,3QItrwNcp5,com.sec.android.app.shealth,,shealth.6.29.upgrade.date,
,,,2025-07-08 23:55:07.906,2025-02-04 12:56:02.422,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,together.setting_gc_invitation,
,,,2025-07-08 23:55:07.907,2025-02-04 12:56:02.427,,,,0,3QItrwNcp5,com.sec.android.app.shealth,,together.setting_exposure_level,
,,,2025-07-08 23:55:07.908,2025-02-04 12:56:02.429,,,,0,3QItrwNcp5,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
,tracker.sleep,,2025-02-04 12:58:11.853,2025-02-04 12:57:58.211,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,06-snore_setting_new,
,,,2025-07-18 14:12:56.055,2025-02-04 12:58:05.414,,,sleep.watch_summary.blob_value.json,,3QItrwNcp5,com.sec.android.app.shealth,,sleep.watch_summary,
,tracker.sleep,,2025-02-04 12:58:08.221,2025-02-04 12:58:08.250,,,,0,3QItrwNcp5,com.sec.android.app.shealth,,06-snore.setting.option_new,
,tracker.spo2,,2025-03-04 18:40:25.931,2025-02-04 12:58:09.921,,,,0,3QItrwNcp5,com.sec.android.app.shealth,,10-measure.period,
,tracker.sleep,,2025-02-04 12:58:11.854,2025-02-04 12:58:11.854,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,06-snore_setting,
,tracker.sleep,,2025-03-04 18:40:25.940,2025-02-04 12:58:13.907,,,,1,3QItrwNcp5,com.sec.android.app.shealth,,06-skin_temp_enable,
,,,2021-12-05 07:46:37.031,2021-11-26 03:30:51.047,,,,1,Rju+KmA1Z1,com.sec.android.app.shealth,,weight.tracker_version,
09:00,tracker.inactive,,2023-01-19 06:21:16.437,2022-06-09 09:59:30.209,,,,,IIqR8tL6i5,com.sec.android.app.shealth,,75-startTimeOfDay,
17:00,tracker.inactive,,2023-01-19 06:21:16.522,2022-06-09 09:59:30.246,,,,,IIqR8tL6i5,com.sec.android.app.shealth,,75-endTimeOfDay,
"{""fri"":false,""mon"":true,""sat"":false,""sun"":true,""thu"":true,""tue"":true,""wed"":true}",tracker.inactive,,2023-01-19 06:21:16.590,2022-06-09 09:59:30.278,,,,,IIqR8tL6i5,com.sec.android.app.shealth,,75-daysOfWeek,
,tracker.heartrate,,2023-01-19 06:21:16.848,2022-06-09 09:59:30.334,,,,120,IIqR8tL6i5,com.sec.android.app.shealth,,05-alert.high.limit,
,tracker.heartrate,,2023-01-19 06:21:17.016,2022-06-09 09:59:30.361,,,,0,IIqR8tL6i5,com.sec.android.app.shealth,,05-alert.high.enable,
,tracker.heartrate,,2023-01-19 06:21:17.144,2022-06-09 09:59:30.390,,,,40,IIqR8tL6i5,com.sec.android.app.shealth,,05-alert.low.limit,
,tracker.heartrate,,2023-01-19 06:21:17.270,2022-06-09 09:59:30.414,,,,0,IIqR8tL6i5,com.sec.android.app.shealth,,05-alert.low.enable,
,tracker.exercise,,2023-01-19 06:22:30.333,2022-03-21 17:48:09.322,,,34-favorite_list.blob_value.json,,IIqR8tL6i5,com.sec.android.app.shealth,,34-favorite_list,
