com.samsung.shealth.program.sleep_coaching.mission,6302031,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
,["SP_SVY2_ANS_04"],,,2022-03-25 16:39:55.652,2022-03-22 04:10:30.869,1,3,SP_MSN_03,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d2432ab4-bc5f-47c1-86be-052d5226143d,1,
,null,,,2022-03-23 19:21:35.562,2022-03-22 04:10:30.869,1,1,SP_MSN_03,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,1256c7af-2d3d-460c-9ac9-70c4ef93a04d,1,
,null,,,2022-03-23 19:20:47.116,2022-03-22 04:10:30.869,1,2,SP_MSN_03,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,41b5ae79-bd49-4e8e-bb13-faadfdca7734,1,
,null,,,2022-03-22 17:23:28.399,2022-03-22 04:10:30.869,1,0,SP_MSN_03,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,14203f07-6f9f-48ba-94bf-fd7619c06335,1,
,["SP_SVY4_ANS_03"],,,2022-03-26 20:25:26.166,2022-03-22 04:10:30.869,1,5,SP_MSN_03,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,ab988716-7dc0-4b17-b355-6ce729c9e1c4,1,
,["SP_SVY3_ANS_03"],,,2022-03-26 20:25:49.579,2022-03-22 04:10:30.869,1,4,SP_MSN_03,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,ae4321ef-cf42-4c31-a0f3-9896c99c87c5,1,
,null,,,2022-03-29 17:45:13.741,2022-03-22 04:10:30.869,1,7,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,50b08082-3ee6-4a1d-aea9-0dfc873face8,1,
,null,,,2022-03-30 12:59:23.073,2022-03-22 04:10:30.870,1,8,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,42a86e50-0e16-4880-9d44-2d67e81be34f,1,
,null,,,2022-03-30 12:57:58.722,2022-03-22 04:10:30.869,1,7,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,53506eb5-704a-4bce-a885-1dfe4009793c,1,
,null,,,2022-03-30 12:59:27.522,2022-03-22 04:10:30.870,1,8,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d947985f-7a4a-4d2f-b2db-84dc78790d42,1,
