com.samsung.shealth.rewards,6302031,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-12-13 18:30:00.000,,10009,,2022-03-21 17:49:32.494,2022-03-21 17:49:32.494,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6624}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-13 18:30:00.000,76df4da9-7bfe-4e0b-b0d2-f721120e4768,1,
,2021-12-23 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8401}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-23 18:30:00.000,b0a71766-cec5-4fd5-9ffc-ff0ddd2ea6c9,1,
1203,,11007,,346a43ff-014e-498b-a1e3-0f970633edb0,2022-03-21 17:49:32.647,2021-10-27 03:06:09.627,,,1203,UTC+0530,962922,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-10-27 03:05:59.327,d43457f9-77d7-4c61-ae9f-c56cb51c1a89,0,
,2021-12-17 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":20283}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-17 18:30:00.000,4b83e4f3-a361-4cf6-a376-eb7720b97bd8,1,
,2021-11-19 18:30:00.000,,10299999,,2022-03-21 17:49:32.501,2022-03-21 17:49:32.501,,,tracker_pedometer_reward_most_walking_day,UTC+0530,"{""mTarget"":-1,""mValue"":13310}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-11-19 18:30:00.000,98a1ec8d-fe49-43f2-a685-a8c59c24380d,1,
1203,,1002,,ec36c519-1bc4-44ba-aae7-90ae9e5fcfe4,2022-03-21 17:49:33.436,2021-12-04 14:32:41.441,,,1203,UTC+0530,1068545,Rju+KmA1Z1,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-12-04 14:32:28.800,06e15882-e2ca-4966-956d-140116ff188f,1,
1205,,11007,,111bbd4a-4076-4fcd-80e7-e1ff26bc2dc7,2022-03-21 17:49:32.616,2022-03-21 17:49:32.616,,,1205,UTC+0530,196.294,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-10-27 13:46:34.786,f7982c25-9970-4c54-a42f-e90c087f1349,1,
,2021-11-23 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8980}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-11-23 18:30:00.000,cf5b5014-8741-48e2-a5a6-acb3cde79d43,1,
1200,,11007,,68e14d0e-2ac0-47a2-bd9a-68be310c83b7,2022-03-21 17:49:32.736,2022-03-21 17:49:32.658,,,1200,UTC+0530,3852.8818,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-11-01 15:57:15.479,be49f5df-b044-41e6-8b75-2498a46e0fb1,0,
1205,,1002,,ec36c519-1bc4-44ba-aae7-90ae9e5fcfe4,2022-03-21 17:49:33.439,2021-12-04 14:32:41.452,,,1205,UTC+0530,111.078,Rju+KmA1Z1,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-12-04 14:32:28.800,f8c8b634-7795-4d73-af41-f30e1c7869c1,1,
1201,,1001,,78ea1e01-9ee4-4fb3-abf5-772c5761144b,2022-03-21 17:49:32.181,2021-10-12 14:55:02.174,,,1201,UTC+0530,2.053,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2021-10-12 14:54:33.344,4fb513ed-d40b-4322-bf58-9e68d60b06e8,0,
1202,,11007,,a30f4a98-9074-4a5f-aa82-71b465a494a5,2022-03-21 17:49:32.763,2022-03-21 17:49:32.763,,,1202,UTC+0530,4.111407,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2021-11-05 03:34:29.896,99dfa767-274f-4f4f-ab2d-95c8cc82f1f8,1,
,2021-12-26 18:30:00.000,,10009,,2022-03-21 17:49:32.494,2022-03-21 17:49:32.494,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8900}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-26 18:30:00.000,6730042e-12db-47d3-b013-4064cf042ac9,1,
,2021-10-15 18:30:00.000,,10299999,,2022-03-21 17:49:32.498,2022-03-21 17:49:32.498,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":7704}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-10-15 18:30:00.000,7b8a4542-c013-43f1-b5a2-8dce5c4e9ca0,1,
,2022-02-18 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":10240}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-02-18 18:30:00.000,9512882d-1a23-49a0-99f0-8f95819db552,1,
