com.samsung.shealth.service_preferences,6302031,1
text_value,service_id,float_value,update_time,create_time,long_value,key,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-02-04 12:55:11.144,2025-02-04 12:55:11.144,,oobe.completed,,,1,3QItrwNcp5,com.sec.android.app.shealth,,6a939d9c-6107-4fc7-952c-2ea14b805493,
,tracker.daily_activity,,2025-01-16 04:52:56.023,2024-07-08 17:23:25.776,1737022975558,daily_activity_all_over_half_target_cheer_up_time,,,,/l7YF9Xtrq,com.sec.android.app.shealth,,baedfcbc-f33b-4076-bf28-ad3cd5576fac,
,tracker.daily_activity,,2025-01-16 11:42:42.831,2024-07-09 16:28:09.453,1737047562827,daily_activity_active_calorie_target_achievement_time,,,,/l7YF9Xtrq,com.sec.android.app.shealth,,8433c07c-2c7a-4278-89e4-941e2825786a,
,tracker.daily_activity,,2025-01-16 11:53:16.675,2024-07-09 16:28:09.263,1737048196663,daily_activity_active_time_target_achievement_time,,,,/l7YF9Xtrq,com.sec.android.app.shealth,,67816ce0-e8d9-4efa-87e2-0c9db2686ba4,
,tracker.daily_activity,,2025-01-16 12:35:00.289,2024-07-30 12:22:47.160,1737050700282,daily_activity_step_target_achievement_time,,,,/l7YF9Xtrq,com.sec.android.app.shealth,,f4a88e79-e633-4bea-9a91-02a71e544a68,
,tracker.daily_activity,,2025-01-16 12:35:00.567,2024-07-31 16:24:21.359,1737050700422,daily_activity_all_target_achievement_time,,,,EmOHuC/o0o,com.sec.android.app.shealth,,329e9dd9-a8e1-4d6b-9419-27475806991a,
,tracker.daily_activity,,2025-01-17 02:55:45.989,2024-07-08 17:23:22.774,1737102345930,daily_activity_yesterday_all_target_checked_time,,,,/l7YF9Xtrq,com.sec.android.app.shealth,,03f78031-93eb-4c96-a35a-3fb3fd74226d,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2025-03-27 12:05:00.375,2024-07-08 17:35:03.335,,psm_plus_settings,,,,/l7YF9Xtrq,com.sec.android.app.shealth,,5972b442-78cc-43b7-a334-4db1a6169f82,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2025-07-17 18:38:00.485,2025-01-17 07:30:02.869,,psm_plus_settings_new,,,,tFCCLQvz7k,com.sec.android.app.shealth,,psm_plus_settings_new,
,tracker.daily_activity,,2025-07-19 02:57:21.078,2025-01-18 09:55:15.131,1752872241047,da_step_achievement_time,,,,tFCCLQvz7k,com.sec.android.app.shealth,,da_step_achievement_time,
,tracker.daily_activity,,2025-07-19 02:57:21.250,2025-01-18 16:37:14.648,1752872241136,da_all_achievement_time,,,,tFCCLQvz7k,com.sec.android.app.shealth,,da_all_achievement_time,
,tracker.daily_activity,,2025-07-02 21:56:01.402,2025-02-03 00:45:45.409,1751414400000,da_monthly_goal_first_day,,,,3QItrwNcp5,com.sec.android.app.shealth,,da_monthly_goal_first_day,
,tracker.daily_activity,,2025-07-18 14:12:31.156,2025-01-17 07:58:31.798,1752826351103,da_yesterday_all_checked_time,,,,tFCCLQvz7k,com.sec.android.app.shealth,,da_yesterday_all_checked_time,
,tracker.daily_activity,,2025-07-19 01:35:05.440,2025-01-19 10:29:09.600,1752867305392,da_all_over_half_cheer_up_time,,,,tFCCLQvz7k,com.sec.android.app.shealth,,da_all_over_half_cheer_up_time,
,tracker.daily_activity,,2025-07-19 02:53:40.123,2025-01-18 09:55:15.148,1752872020047,da_active_time_achievement_time,,,,tFCCLQvz7k,com.sec.android.app.shealth,,da_active_time_achievement_time,
,tracker.daily_activity,,2025-07-19 02:51:50.843,2025-01-18 16:37:14.607,1752871910514,da_active_calorie_achievement_time,,,,tFCCLQvz7k,com.sec.android.app.shealth,,da_active_calorie_achievement_time,
,app.settings,,2025-04-02 03:03:00.397,2024-07-08 17:35:03.362,,psm_plus_enable,,,0,/l7YF9Xtrq,com.sec.android.app.shealth,,22ce14be-926a-47fe-878e-6cb41708ea21,
,app.settings,,2025-07-19 02:40:51.569,2025-01-17 07:30:02.866,,psm_plus_enable_new,,,0,tFCCLQvz7k,com.sec.android.app.shealth,,psm_plus_enable_new,
,tracker.daily_activity,,2025-07-19 02:49:34.580,2025-06-03 00:58:47.041,1752871774563,da_all_near_cheer_up_time,,,,tFCCLQvz7k,com.sec.android.app.shealth,,da_all_near_cheer_up_time,
