com.samsung.shealth.social.public_challenge.detail,6302031,1
status,update_time,create_time,body,pcid,deviceuuid,pkg_name,last_sync_time,datauuid
1,2025-03-03 16:39:39.874,2025-02-04 12:56:56.835,f04a1665-99e3-49d5-a33a-34ecd04ae44d.body.json,25020001,3QItrwNcp5,com.sec.android.app.shealth,1741019979871,f04a1665-99e3-49d5-a33a-34ecd04ae44d,
0,2025-02-22 07:40:09.355,2025-02-04 12:57:15.864,6065c695-9098-49ea-a3f7-7acea4214221.body.json,25010010,3QItrwNcp5,com.sec.android.app.shealth,1740210009354,6065c695-9098-49ea-a3f7-7acea4214221,
1,2025-02-04 12:57:40.678,2025-02-04 12:57:40.678,39af6d93-c7ff-46ef-adb0-53d3edbb14d2.body.json,25010001,3QItrwNcp5,com.sec.android.app.shealth,1738673860664,39af6d93-c7ff-46ef-adb0-53d3edbb14d2,
1,2025-03-19 02:06:17.766,2025-02-14 06:46:17.550,581316e4-0ba0-4132-9373-f33c7f60b21f.body.json,25020002,3QItrwNcp5,com.sec.android.app.shealth,1742349977764,581316e4-0ba0-4132-9373-f33c7f60b21f,
0,2025-04-01 15:22:49.983,2025-03-01 03:02:09.463,56add0e6-16de-4393-8f4f-df9e9a2a1a61.body.json,25030001,3QItrwNcp5,com.sec.android.app.shealth,1743520969979,56add0e6-16de-4393-8f4f-df9e9a2a1a61,
0,2025-05-01 17:57:17.304,2025-03-28 03:25:03.304,ef98d85d-4b3f-4d45-a80f-4403e83bed2d.body.json,25040001,3QItrwNcp5,com.sec.android.app.shealth,1746122237299,ef98d85d-4b3f-4d45-a80f-4403e83bed2d,
1,2025-05-25 01:05:20.631,2025-04-17 10:03:09.033,0ec035d9-6f11-45e1-864a-74352a061b4d.body.json,25040005,3QItrwNcp5,com.sec.android.app.shealth,1748135120626,0ec035d9-6f11-45e1-864a-74352a061b4d,
0,2025-05-30 01:01:19.629,2025-04-24 20:07:04.775,26cbcfdb-7e22-48b1-9eea-1806d5fcd557.body.json,25050001,3QItrwNcp5,com.sec.android.app.shealth,1748566879624,26cbcfdb-7e22-48b1-9eea-1806d5fcd557,
0,2025-04-24 20:07:04.780,2025-04-24 20:07:04.780,4b47850a-77ba-4206-a741-a96b4644532f.body.json,25050001,3QItrwNcp5,com.sec.android.app.shealth,1745525224759,4b47850a-77ba-4206-a741-a96b4644532f,
0,2025-06-30 02:35:49.512,2025-05-30 01:00:47.559,5be389eb-b8c8-4585-a72f-a72532aea3be.body.json,25060001,3QItrwNcp5,com.sec.android.app.shealth,1751250949509,5be389eb-b8c8-4585-a72f-a72532aea3be,
0,2025-07-19 03:28:47.862,2025-06-25 18:05:58.583,66c71237-a28f-4642-8ed0-78cdfcf35292.body.json,25070001,3QItrwNcp5,com.sec.android.app.shealth,1752895727860,66c71237-a28f-4642-8ed0-78cdfcf35292,
