com.samsung.shealth.tracker.floors_day_summary,6302031,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62900750,a09bd6cf-17e6-4012-b7e2-87d1cd879edd.binning_data.json,62930070,2025-02-28 10:23:24.738,2025-02-04 13:17:27.006,3,2,3QItrwNcp5,com.sec.android.app.shealth,a09bd6cf-17e6-4012-b7e2-87d1cd879edd,1738627200000,
62900750,8a151112-8ae4-4540-92d0-79a6ef41379a.binning_data.json,62930070,2025-03-04 15:05:10.011,2025-02-05 04:13:53.937,2,2,3QItrwNcp5,com.sec.android.app.shealth,8a151112-8ae4-4540-92d0-79a6ef41379a,1738713600000,
62900750,,62900750,2025-01-30 18:58:37.730,2025-01-30 18:58:37.730,4,1,QXcEZDPJKk,com.sec.android.app.shealth,969932d3-0aec-4fd2-b7ac-41a72572ea7c,1715731200000,
62900750,,62900750,2025-01-30 18:58:37.759,2025-01-30 18:58:37.759,1,1,QXcEZDPJKk,com.sec.android.app.shealth,fb4ae8ce-794a-4881-8c6b-a54ce275cf1f,1644192000000,
62900750,,62900750,2025-01-30 18:58:37.785,2025-01-30 18:58:37.785,3,1,QXcEZDPJKk,com.sec.android.app.shealth,6171e9bf-c5a4-43f5-993b-87402f621ce4,1687478400000,
62900750,,62900750,2025-01-30 18:58:37.818,2025-01-30 18:58:37.818,6,1,QXcEZDPJKk,com.sec.android.app.shealth,8db462df-8098-405f-9641-958ec981d4b5,1686873600000,
62900750,7a8a4316-7d4e-446b-8c2f-9955fa0f899c.binning_data.json,62900750,2025-01-30 18:58:37.865,2025-01-30 18:58:37.865,3,2,QXcEZDPJKk,com.sec.android.app.shealth,7a8a4316-7d4e-446b-8c2f-9955fa0f899c,1730764800000,
62900750,,62900750,2025-01-30 18:58:37.957,2025-01-30 18:58:37.957,4,1,QXcEZDPJKk,com.sec.android.app.shealth,59092bdc-fcc3-4821-b5c4-790000232cb8,1716336000000,
62900750,,62900750,2025-01-30 18:58:37.904,2025-01-30 18:58:37.904,4,1,QXcEZDPJKk,com.sec.android.app.shealth,fa34a60f-19c1-4f82-891c-c09f39f97bef,1659225600000,
62900750,,62900750,2025-01-30 18:58:37.998,2025-01-30 18:58:37.998,3,1,QXcEZDPJKk,com.sec.android.app.shealth,96604d18-8ca2-4967-b2d5-ef4817816f55,1729555200000,
62900750,,62900750,2025-01-30 18:58:38.123,2025-01-30 18:58:38.123,3,1,QXcEZDPJKk,com.sec.android.app.shealth,414afd18-0ca4-4afd-aaed-5501e0626f80,1716940800000,
62900750,7143849e-f129-4dc8-9e7d-fe91852ba1a6.binning_data.json,62900750,2025-01-30 18:58:38.141,2025-01-30 18:58:38.141,3,2,QXcEZDPJKk,com.sec.android.app.shealth,7143849e-f129-4dc8-9e7d-fe91852ba1a6,1731974400000,
62900750,,62900750,2025-01-30 18:58:38.209,2025-01-30 18:58:38.209,21,1,QXcEZDPJKk,com.sec.android.app.shealth,ee3b41a7-c94c-4a57-b198-61282478dd54,1703721600000,
62900750,,62900750,2025-01-30 18:58:38.069,2025-01-30 18:58:38.069,4,1,QXcEZDPJKk,com.sec.android.app.shealth,3e9649ed-7080-42d6-9124-ff8d9bf2900b,1703116800000,
62900750,,62900750,2025-01-30 18:58:38.266,2025-01-30 18:58:38.266,2,1,QXcEZDPJKk,com.sec.android.app.shealth,10e8ad74-25f0-42d1-a5bd-9b671e25ebed,1661644800000,
62900750,63f19b26-0ade-482c-9508-d83b4eed2244.binning_data.json,62900750,2025-01-30 18:58:37.670,2025-01-30 18:58:37.670,6,2,QXcEZDPJKk,com.sec.android.app.shealth,63f19b26-0ade-482c-9508-d83b4eed2244,1730160000000,
62900750,,62900750,2025-01-30 18:58:37.937,2025-01-30 18:58:37.937,5,1,QXcEZDPJKk,com.sec.android.app.shealth,bd99ab2f-90d7-46eb-8d55-f5a8cd5a3e0b,1673654400000,
62900750,,62900750,2025-01-30 18:58:37.698,2025-01-30 18:58:37.698,2,1,QXcEZDPJKk,com.sec.android.app.shealth,effaf97a-c0db-4967-935c-99ee25e1f7d8,1673049600000,
62900750,,62900750,2025-01-30 18:58:38.095,2025-01-30 18:58:38.095,2,1,QXcEZDPJKk,com.sec.android.app.shealth,0f621a05-bcac-43c7-b2f1-50b2f3c36bb9,1674864000000,
62900750,,62900750,2025-01-30 18:58:38.045,2025-01-30 18:58:38.045,1,1,QXcEZDPJKk,com.sec.android.app.shealth,7a2f78dd-a531-4a9d-a5aa-36b1f59a62a1,1659830400000,
62900750,,62900750,2025-01-30 18:58:38.223,2025-01-30 18:58:38.223,5,1,QXcEZDPJKk,com.sec.android.app.shealth,a1789ed8-3d4b-4d2f-8d87-fb475f16c967,1641772800000,
62900750,,62900750,2025-01-30 18:58:38.034,2025-01-30 18:58:38.034,3,1,QXcEZDPJKk,com.sec.android.app.shealth,ff81a831-03ce-4425-b01f-2fd7e7f3325a,1674259200000,
62900750,,62900750,2025-01-30 18:58:38.280,2025-01-30 18:58:38.280,3,1,QXcEZDPJKk,com.sec.android.app.shealth,e3508cf0-f846-4940-90a2-0f079e831494,1717545600000,
62900750,f67d7e8e-e5ce-4e45-a5f1-61a73e386b31.binning_data.json,62900750,2025-01-30 18:58:38.296,2025-01-30 18:58:38.296,2,2,QXcEZDPJKk,com.sec.android.app.shealth,f67d7e8e-e5ce-4e45-a5f1-61a73e386b31,1733184000000,
62900750,,62900750,2025-01-30 18:58:38.177,2025-01-30 18:58:38.177,1,1,QXcEZDPJKk,com.sec.android.app.shealth,88c14922-fbc1-4dae-9c12-95592020204c,1718150400000,
62900750,,62900750,2025-01-30 18:58:38.365,2025-01-30 18:58:38.365,4,1,QXcEZDPJKk,com.sec.android.app.shealth,5a6d8848-7cdb-434d-9bd1-e15bf6fc2e38,1719360000000,
62900750,,62900750,2025-01-30 18:58:38.193,2025-01-30 18:58:38.193,2,1,QXcEZDPJKk,com.sec.android.app.shealth,329333cd-e092-4d8b-94c9-0df5425e9749,1661040000000,
62900750,,62900750,2025-01-30 18:58:38.430,2025-01-30 18:58:38.430,5,1,QXcEZDPJKk,com.sec.android.app.shealth,ea94c963-d78e-4b15-a7a0-26a5cb927cec,1662249600000,
62900750,74a2710b-e3e4-4847-82bc-01e638b32443.binning_data.json,62900750,2025-01-30 18:58:38.549,2025-01-30 18:58:38.549,2,2,QXcEZDPJKk,com.sec.android.app.shealth,74a2710b-e3e4-4847-82bc-01e638b32443,1732579200000,
62900750,,62900750,2025-01-30 18:58:38.590,2025-01-30 18:58:38.590,2,1,QXcEZDPJKk,com.sec.android.app.shealth,29080006-d81a-4b04-96a1-bf69153d6f8a,1639958400000,
62900750,,62900750,2025-01-30 18:58:38.385,2025-01-30 18:58:38.385,7,1,QXcEZDPJKk,com.sec.android.app.shealth,7a718ba9-3bd0-4c48-9916-15219a59b8d4,1704326400000,
62900750,,62900750,2025-01-30 18:58:38.603,2025-01-30 18:58:38.603,3,1,QXcEZDPJKk,com.sec.android.app.shealth,49e2c48e-b7be-4a0a-b86c-d7cc0aaedebd,1720569600000,
62900750,cbce0830-77e3-444f-ab68-4b337335cdc8.binning_data.json,62900750,2025-01-30 18:58:38.618,2025-01-30 18:58:38.618,2,2,QXcEZDPJKk,com.sec.android.app.shealth,cbce0830-77e3-444f-ab68-4b337335cdc8,1734998400000,
62900750,12c53ebf-7760-48bb-a16f-91e937bb7c53.binning_data.json,62900750,2025-01-30 18:58:38.240,2025-01-30 18:58:38.240,4,2,QXcEZDPJKk,com.sec.android.app.shealth,12c53ebf-7760-48bb-a16f-91e937bb7c53,1731369600000,
62900750,,62900750,2025-01-30 18:58:38.808,2025-01-30 18:58:38.808,2,1,QXcEZDPJKk,com.sec.android.app.shealth,c62b64cf-d9e4-4771-ac48-44390d8bb3b7,1719964800000,
62900750,,62900750,2025-01-30 18:58:38.451,2025-01-30 18:58:38.451,3,1,QXcEZDPJKk,com.sec.android.app.shealth,71c7b21a-4ee2-410d-893a-1c8e488cd4e3,1691107200000,
62900750,,62900750,2025-01-30 18:58:38.326,2025-01-30 18:58:38.326,13,1,QXcEZDPJKk,com.sec.android.app.shealth,ee8ef346-2845-4c68-b9e6-a4754013ee88,1641168000000,
62900750,,62900750,2025-01-30 18:58:38.787,2025-01-30 18:58:38.787,2,1,QXcEZDPJKk,com.sec.android.app.shealth,58f1913e-9156-4b25-a54d-b6155541b307,1678492800000,
62900750,,62900750,2025-01-30 18:58:38.578,2025-01-30 18:58:38.578,4,1,QXcEZDPJKk,com.sec.android.app.shealth,967fc6a8-82c6-4721-b8fd-fc4b897c457d,1718755200000,
62900750,,62900750,2025-01-30 18:58:38.474,2025-01-30 18:58:38.474,8,1,QXcEZDPJKk,com.sec.android.app.shealth,6b11c47f-7a17-4e8a-be9c-19ee5c56aa30,1640563200000,
62900750,,62900750,2025-01-30 18:58:38.836,2025-01-30 18:58:38.836,2,1,QXcEZDPJKk,com.sec.android.app.shealth,e1651bcd-13d4-46f1-8a97-c0aa79031a9d,1638748800000,
62900750,,62900750,2025-01-30 18:58:38.726,2025-01-30 18:58:38.726,1,1,QXcEZDPJKk,com.sec.android.app.shealth,e99bde25-6417-4334-9925-7f051514df78,1677888000000,
62900750,ba140fc2-5510-47a7-9e45-3d22a86c7708.binning_data.json,62900750,2025-01-30 18:58:38.401,2025-01-30 18:58:38.401,3,2,QXcEZDPJKk,com.sec.android.app.shealth,ba140fc2-5510-47a7-9e45-3d22a86c7708,1733788800000,
62900750,,62900750,2025-01-30 18:58:38.343,2025-01-30 18:58:38.343,8,1,QXcEZDPJKk,com.sec.android.app.shealth,bb384453-a919-44fc-b49a-92a97f5ae0c9,1676073600000,
62900750,,62900750,2025-01-30 18:58:38.654,2025-01-30 18:58:38.654,1,1,QXcEZDPJKk,com.sec.android.app.shealth,fb715f7b-7f5f-43dc-b8a8-fe48b979273e,1706140800000,
62900750,,62900750,2025-01-30 18:58:38.500,2025-01-30 18:58:38.500,4,1,QXcEZDPJKk,com.sec.android.app.shealth,945555af-32dc-42c2-96dd-f1105ef8fdb0,1705536000000,
62900750,,62900750,2025-01-30 18:58:38.851,2025-01-30 18:58:38.851,1,1,QXcEZDPJKk,com.sec.android.app.shealth,5631d3af-0f74-4ff0-91fe-a92ca25158c1,1650240000000,
62900750,,62900750,2025-01-30 18:58:38.682,2025-01-30 18:58:38.682,7,1,QXcEZDPJKk,com.sec.android.app.shealth,58893fbf-4f65-4982-917a-10f6c5b63e50,1639353600000,
62900750,,62900750,2025-01-30 18:58:38.985,2025-01-30 18:58:38.985,8,1,QXcEZDPJKk,com.sec.android.app.shealth,2ccf2975-c851-41a1-bb4f-c3105056019c,1652572800000,
62900750,,62900750,2025-01-30 18:58:39.003,2025-01-30 18:58:39.003,2,1,QXcEZDPJKk,com.sec.android.app.shealth,a44a90b6-bbe9-44c0-b5e6-f0fc71cc0d2a,1680825600000,
