com.samsung.shealth.tracker.pedometer_step_count,6302031,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
6933,4,0,13,2025-06-15 12:56:00.000,,,2025-06-15 12:56:54.640,2025-06-15 12:56:53.839,13,1.4957285,10.370001,0.33,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 12:57:00.000,1e436e35-267a-457a-b9d9-99d85a60c30c,
3775,4,0,6,2025-06-15 14:22:00.000,,,2025-06-15 14:22:45.506,2025-06-15 14:22:45.506,6,2.1111112,7.97,0.59,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 14:23:00.000,69ad83da-748c-4bc8-a70b-5b6eedae63bf,
19847,4,0,38,2025-06-15 14:43:00.000,,,2025-06-15 14:44:35.965,2025-06-15 14:44:35.965,38,1.4722222,29.22,1.52,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 14:44:00.000,6ff0986b-b96f-480e-a0c8-86d5e271dcbb,
16112,4,0,27,2025-06-15 14:44:00.000,,,2025-06-15 14:44:35.985,2025-06-15 14:44:35.985,27,1.25,20.14,1.08,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 14:45:00.000,5180f286-124a-426c-9a4a-580e5a8b3557,
13572,4,15,22,2025-06-15 14:38:00.000,,,2025-06-15 14:44:22.940,2025-06-15 14:44:22.940,37,2.4166667,32.8,2.29,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:39:00.000,30c4139c-2ae1-4564-855e-45ad3928a30a,
12108,4,0,33,2025-06-15 14:39:00.000,,,2025-06-15 14:44:23.076,2025-06-15 14:44:23.076,33,2.3611112,28.59,1.17,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:40:00.000,e9c848a1-41ae-49ef-bcdb-7866188c7d66,
5494,4,14,7,2025-06-15 14:40:00.000,,,2025-06-15 14:44:23.195,2025-06-15 14:44:23.195,21,3.5833335,19.69,1.41,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:41:00.000,a4643fce-885f-44d5-865a-482760636019,
6007,4,15,7,2025-06-15 14:41:00.000,,,2025-06-15 14:44:30.785,2025-06-15 14:44:30.785,22,3.3888888,20.36,1.64,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:42:00.000,37f04b62-5db4-4452-afc8-28976a9efd6e,
11344,4,0,18,2025-06-15 14:42:00.000,,,2025-06-15 14:44:31.116,2025-06-15 14:44:31.116,18,1.1944444,13.55,0.8,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:43:00.000,a04aef02-91e6-4285-8b96-c8741fbf07ec,
28153,4,0,57,2025-06-15 14:43:00.000,,,2025-06-15 14:44:31.245,2025-06-15 14:44:31.245,57,1.6388888,46.14,2.35,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:44:00.000,4d01a4af-85ff-4ae2-b656-44de67654083,
8663,4,0,21,2025-06-15 14:44:00.000,,,2025-06-15 14:44:33.454,2025-06-15 14:44:33.454,21,2.1388888,18.53,0.99,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:45:00.000,7cb993bd-1f6b-4000-bb8a-7165e89d62ec,
11925,4,0,22,2025-06-15 14:45:00.000,,,2025-06-15 14:45:34.787,2025-06-15 14:45:17.016,22,1.4195988,16.93,0.88,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 14:46:00.000,1be7d06f-d732-4a77-bf5c-678c06e352ce,
18498,4,0,32,2025-06-15 14:57:00.000,,,2025-06-15 14:59:50.123,2025-06-15 14:57:28.146,32,1.3087628,24.210005,1.2800002,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 14:58:00.000,c729d92f-4a3a-4fbe-9d0a-0e1fdc93011a,
14692,4,0,28,2025-06-15 15:10:00.000,,,2025-06-15 15:11:05.011,2025-06-15 15:11:05.011,28,1.4722222,21.63,1.12,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 15:11:00.000,54ea2f76-2bc7-4511-9c8e-7ae0d9a463f8,
2924,4,0,6,2025-06-15 15:11:00.000,,,2025-06-15 15:11:07.361,2025-06-15 15:11:07.361,6,1.5833334,4.63,0.24,UTC-0600,3QItrwNcp5,com.sec.android.app.shealth,2025-06-15 15:12:00.000,4030ad40-f40e-4168-9db0-edf3b6cab54a,
10189,4,0,17,2025-06-15 14:45:00.000,,,2025-06-15 14:46:46.013,2025-06-15 14:46:46.013,17,1.2777778,13.02,0.74,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:46:00.000,6ffce2ec-d59e-48ee-80ed-f4a7f0945586,
16806,4,0,32,2025-06-15 14:57:00.000,,,2025-06-15 14:57:47.987,2025-06-15 14:57:47.987,32,1.5833334,26.61,1.26,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 14:58:00.000,3df3c63d-26b4-4e01-8d76-41f6891b05db,
13484,4,0,23,2025-06-15 15:00:00.000,,,2025-06-15 15:01:05.500,2025-06-15 15:01:05.500,23,1.3333334,17.98,0.95,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 15:01:00.000,b3aeed4f-84ab-48d2-8f68-1dcb7e7b7722,
15800,4,0,26,2025-06-15 15:06:00.000,,,2025-06-15 15:06:59.520,2025-06-15 15:06:59.520,26,1.2777778,20.19,1.06,UTC-0600,tFCCLQvz7k,com.sec.android.app.shealth,2025-06-15 15:07:00.000,c973d53f-5b50-4803-8f42-be041be693ea,
